,이름,금액,페어링,주소,영문이름,나라,생산지,제조사,포도품종,알코올도수,평점,종류,산미,당도,바디감,탄닌,인기순위,추천순위,구매가능여부,이미지주소,평점지수
185,카띠에르 브뤼 로제 프리미에 크뤼,89000,"짠맛 치즈, 고소한 치즈, 조개/굴, 바닷가재/게, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=02A755,CATTIER BRUT ROSE PREMIER CRU,프랑스,상파뉴,CHAMPAGNE CATTIER,"피노 므니에(PINOT MEUNIER) 50%, 피노 누아(PINOT NOIR) 40% , 샤르도네(CHARDONNAY) 10%",12.5,3.9,샴페인,2,1,2,0,274,49,구매 예약,https://www.winenara.com/uploads/product/550/2768_detail_068.png,4.27065788
186,마틴 레이 소노마 코스트 샤르도네,32000,"고소한 치즈, 양파/마늘, 바닷가재/게, 버터맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D888,MARTIN RAY SONOMA COAST CHARDONNAY,미국,"미국,캘리포니아,소노마",MARTIN RAY and ANGELINE WINERY,샤르도네(CHARDONNAY) 100%,13.8,3.7,화이트,3,0,3,0,275,62,구매 예약,https://www.winenara.com/uploads/product/550/2743_detail_072.png,4.068798365
187,닥터루젠 리슬링 드라이,18000,"민트/바질, 짠맛 치즈, 고소한 치즈, 상추.아보카도, 양파/마늘, 바닷가재/게, 파슬리, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 찜, 생선, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D726,DR. LOOSEN RIESLING DRY,독일,"독일, 모젤",,리슬링 (RIESLING) 100%,12,3.8,화이트,4,1,3,0,277,24,구매 예약,https://www.winenara.com/uploads/product/550/2655_detail_049.PNG,4.165079335
188,아미치 나파밸리 카베르네 소비뇽,110000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03P939,AMICI NAPA VALLEY CABERNET SAUVIGNON,미국,"미국, 캘리포니아,나파",AMICI CELLARS,"카베르네 소비뇽(CABERNET SAUVIGNON) 91% , 메를로(MERLOT) 4%, 쁘띠 베르도(PETIT VERDOT) 3% , 카베르네 프랑(CABERNET FRANC) 2%",14.7,4.2,레드,3,0,5,5,278,666,구매 예약,https://www.winenara.com/uploads/product/550/2647_detail_060.png,4.563219819
189,마푸 리제르바 카베르네 소비뇽,16900,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q107,Mapu Reserva Cabernet Sauvignon,칠레,"칠레, 마울레 밸리",바롱 필립 드 로칠드 마이포 칠레,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,13.5,3.3,레드,4,1,4,3,279,122,구매 예약,https://www.winenara.com/uploads/product/550/2631_detail_097.png,3.661360304
190,와일드얼스 피노그리,45000,"민트/바질, 짠맛 치즈, 고소한 치즈, 상추.아보카도, 양파/마늘, 바닷가재/게, 파슬리, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 찜, 생선, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D714,WILD EARTH PINOT GRIS,뉴질랜드,"센트럴 오타고, 뉴질랜드",Wild earth,피노그리(PINOT GRIS),13,3.8,화이트,3,1,3,0,280,322,구매 예약,https://www.winenara.com/uploads/product/550/2558_detail_034.png,4.159500789
191,더 페데럴리스트 샤르도네,50000,"민트/바질, 짠맛 치즈, 고소한 치즈, 상추.아보카도, 양파/마늘, 바닷가재/게, 파슬리, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 찜, 생선, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D405,THE FEDERALIST CHARDONNAY,미국,"캘리포니아, 멘도치노 카운티",델라토 패밀리 빈야드,샤르도네 100%,13.5,3.7,화이트,4,0,3,0,286,102,구매 예약,https://www.winenara.com/uploads/product/550/1801_detail_0100.png,4.048343698
192,티렐 루나틱 히스코트 쉬라즈,80000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03O564,TYRRELL LUNATIQ HEATHCOTE SHIRAZ,호주,"빅토리아, 히스코트 (Heathcote)",티렐스 와인 (Tyrrell’s Wines),쉬라즈 (Shiraz) 100%,13.5,4,레드,3,0,4,3,289,653,구매 예약,https://www.winenara.com/uploads/product/550/1584_detail_015.png,4.342765152
193,티렐 루퍼스스톤 히스코트 쉬라즈,39000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03O563,TYRRELL LUFUS STONE HEATHCOTE SHIRAZ,호주,"빅토리아, 히스코트 (Heathcote)",티렐스 와인 (Tyrrell’s Wines),쉬라즈 (Shiraz) 100%,14.5,3.8,레드,3,0,4,4,290,146,구매 예약,https://www.winenara.com/uploads/product/550/1583_detail_072.png,4.140905637
194,카포 디 스타토,129000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03R437,CAPO DI STATO,이탈리아,베네토,베네가쭈(Venegazzu),"카베르네 소비뇽(Cabernet Sauvignon) 65%, 말벡(Malbec) 5%,카베르네 프랑(Cabernet Franc) 20%, 메를로(Merlot) 10%",13,4.3,레드,3,1,3,4,291,629,구매 예약,https://www.winenara.com/uploads/product/550/1487_detail_034.png,4.639046122
195,칠카스 카베르네 소비뇽,10000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03J044,CHILCAS CABERNET SAUVIGNON,칠레,센트럴 밸리,칠카스,카베르네 소비뇽 (Cabernet Sauvignon) 100%,13.2,3.2,레드,3,1,3,3,293,460,구매 예약,https://www.winenara.com/uploads/product/550/1067_detail_079.png,3.535327092
196,맥스 리제르바 피노누아,24900,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03N601,MAX RESERVA PINOT NOIR,칠레,카사블랑카 밸리,비냐 에라주리즈,피노 누아 (Pinot Noir) 100%,13.5,3.6,레드,3,1,3,2,294,181,구매 예약,https://www.winenara.com/uploads/product/550/1032_detail_074.png,3.933467576
197,에스쿠도 로호 그란 리제르바,49000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=02A636,ESCUDO ROJO GRAN RESERVA,칠레,마이포 밸리,바롱 필립 드 로칠드 마이포 칠레,"카베르네 소비뇽 44%, 카르메네르 39%, 시라 11%, 카베르네 프랑 2%, 쁘띠 베르도 4%",14.5,3.6,레드,3,0,4,4,297,568,구매 예약,https://www.winenara.com/uploads/product/550/530_detail_059.png,3.927889031
198,샤또 루빈 라이온 앤 드래곤 프로방스 블랑,45000,없음,https://www.winenara.com/shop/product/product_view?product_cd=04E088,CHATEAU ROUBINE LION & DRAGON PROVENCE BLANC,프랑스,프로방스,샤또 루빈(ROUBINE),"롤(ROLLE) 50%, 세미용(SEMILLON) 50%",13,4.1,화이트,3,0,3,0,299,268,구매 예약,https://www.winenara.com/uploads/product/550/1714d55b62c9a26ae237cab070e5e221.png,4.42417
199,샤또 루빈 라이온 앤 드래곤 프로방스 루즈,45000,없음,https://www.winenara.com/shop/product/product_view?product_cd=03R218,CHATEAU ROUBINE LION & DRAGON PROVENCE ROUGE,프랑스,프로방스,샤또 루빈(ROUBINE),"카베르네 소비뇽(CABERNET SAUVIGNON) 50%, 시라(SYRAH) 50%",12.5,4.3,레드,3,0,4,3,300,269,구매 예약,https://www.winenara.com/uploads/product/550/81f536db3160b46342636c64680fd0b4.png,4.622310485
200,샤또 루빈 라이온 앤 드래곤 프로방스 로제,45000,없음,https://www.winenara.com/shop/product/product_view?product_cd=04E089,CHATEAU ROUBINE LION & DRAGON PROVENCE ROSE,프랑스,프로방스,샤또 루빈(ROUBINE),"그르나슈(GRENACHE) 50%, 티부렌(TIBOUREN) 30%, 롤(ROLLE) 10%, 무르베드르(MOURVEDRE) 10%",12.5,4.2,로제,3,0,3,1,301,270,구매 예약,https://www.winenara.com/uploads/product/550/3e516b689bdfa0bfb560b2475dc6e3ce.png,4.52045097
201,샤또 루빈 라 비 앙 로제,25000,없음,https://www.winenara.com/shop/product/product_view?product_cd=04E087,CHATEAU ROUBINE LA VIE EN ROSE,프랑스,프로방스,샤또 루빈(ROUBINE),"그르나슈(GRENACHE_ 50%, 생소(CINSAULT) 40%, 시라(SYRAH) 10%",12.5,3.9,로제,2,0,3,1,302,271,구매 예약,https://www.winenara.com/uploads/product/550/507978fd8d54a42e3c90cecfc88d63f6.png,4.218591455
202,클래이 크릭 빈야드 샤르도네,19900,없음,https://www.winenara.com/shop/product/product_view?product_cd=04E157,CLAY CREEK VINEYARD CHARDONNAY,미국,캘리포니아,클래이 크릭 빈야드 CLAY CREEK VINEYARD,샤르도네(CHARDONNAY) 100%,13.5,3.7,화이트,3,0,3,0,306,275,구매 예약,https://www.winenara.com/uploads/product/550/e8b4439f8c457839867cc52e5c035bdc.png,4.011153394
203,클래이 크릭 빈야드 피노누아,19900,없음,https://www.winenara.com/shop/product/product_view?product_cd=03R379,CLAY CREEK VINEYARD PINOT NOIR,미국,캘리포니아,클래이 크릭 빈야드 CLAY CREEK VINEYARD,피노누아 (PINOT NOIR) 100%,13.5,3.6,레드,3,0,3,3,307,276,구매 예약,https://www.winenara.com/uploads/product/550/fbded1e279a7597701616663b142c7c7.png,3.909293879
204,클래이 크릭 빈야드 카베르네 소비뇽,19900,없음,https://www.winenara.com/shop/product/product_view?product_cd=03R381,CLAY CREEK VINEYARD CABERNET SAUVIGNON,미국,캘리포니아,클래이 크릭 빈야드 CLAY CREEK VINEYARD,카베르네 소비뇽 (CABERNET SAUVIGNON) 100%,13.5,3.9,레드,3,0,3,3,308,277,구매 예약,https://www.winenara.com/uploads/product/550/c23de4acc8ad355f487f8d05fd68e560.png,4.207434364
205,클래이 크릭 빈야드 레드 블렌드,19900,없음,https://www.winenara.com/shop/product/product_view?product_cd=03R380,CLAY CREEK VINEYARD RED BLEND,미국,캘리포니아,클래이 크릭 빈야드 CLAY CREEK VINEYARD,"진판델 (ZINFANDEL), 시라(SYRAH), 메를로(MERLOT)",15,4,레드,3,0,3,3,309,278,구매 예약,https://www.winenara.com/uploads/product/550/9248b5348200e9000ad3f8b8c43dbe5c.png,4.305574849
206,마렌고 바롤로 브리꼬 델레 비올레,120000,없음,https://www.winenara.com/shop/product/product_view?product_cd=03R488,MARENGO BRICCO DELLE VIOLE DOCG,이탈리아,피에몬테,마리오 마렌고 AZ.AGR. MARENGO,네비올로(NEBBIOLO) 100%,15,4.1,레드,3,0,4,4,312,283,구매 예약,https://www.winenara.com/uploads/product/550/810c018bea80db6610b1add84ee21303.png,4.399996303
207,마렌고 바롤로,95000,없음,https://www.winenara.com/shop/product/product_view?product_cd=03R487,MARENGO BAROLO DOCG,이탈리아,피에몬테,마리오 마렌고 AZ.AGR. MARENGO,네비올로(NEBBIOLO) 100%,14.5,4,레드,2,0,3,3,313,284,구매 예약,https://www.winenara.com/uploads/product/550/ace52e623aad2d28909fa5ea86f4a3c4.png,4.298136788
208,마르쿠스 몰리터 젤팅거 존넨우어 아우스레제 (그린),250000,"민트/바질, 짠맛 치즈, 고소한 치즈, 상추.아보카도, 양파/마늘, 바닷가재/게, 파슬리, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 찜, 생선, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D749,MARKUS MOLITOR ZELTINGER SONNENUHR AUSLESE (GREENCAPSULE),독일,모젤,마르쿠스 몰리터 (Markus Molitor),리슬링 (Riesling) 100%,11.5,4.3,화이트,4,4,4,0,314,649,구매 예약,https://www.winenara.com/uploads/product/550/55ad32902dbac2491f076a5aa621be2b.png,4.596277273
209,디오라 피노누아,42000,없음,https://www.winenara.com/shop/product/product_view?product_cd=03R377,DIORA PINOT NOIR,미국,"캘리포니아,몬테레이",델리카토 패밀리 DELICATO FAMILY,피노 누아(PINOT NOIR) 100%,14.5,4.1,레드,4,0,4,3,315,286,구매 예약,https://www.winenara.com/uploads/product/550/e378b23e91f2a5b4904e8e8a82978e10.png,4.394417758
210,디오라 샤르도네,42000,"고소한 치즈, 양파/마늘, 바닷가재/게, 버터맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04E156,DIORA CHARDONNAY,미국,"캘리포니아,몬테레이",델리카토 패밀리 DELICATO FAMILY,샤르도네(CHARDONNAY) 100%,14.5,3.9,화이트,4,0,4,0,316,287,구매 예약,https://www.winenara.com/uploads/product/550/a724c13bbe44632c19482b1762823751.png,4.192558242
211,디오라 로제,37000,"민트/바질, 짠맛 치즈, 당근/호박, 돼지고기/닭고기, 살루미/베이컨",https://www.winenara.com/shop/product/product_view?product_cd=03R378,DIORA ROSE,미국,"캘리포니아,몬테레이",델리카토 패밀리 DELICATO FAMILY,"피노 누아(PINOT NOIR) 84%, 그르나슈(GRENACHE) 8%, 시라(SYRAH) 4%, 샤르도네(CHARDONNAY) 3%, 말벡(MALBEC) 1%",12,4.1,로제,3,0,2,0,317,288,구매 예약,https://www.winenara.com/uploads/product/550/4dcc460a3cce64a8d3155e71a583aaef.png,4.390698727
212,알바 클라라 소비뇽 블랑,19900,"민트/바질, 계피/바닐라, 고소한 치즈, 상추.아보카도, 바닷가재/게, 바비큐/데리야키, 강황/쿠민, 버터맛 치즈, 당근/호박, 돼지고기/닭고기, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D716,ALBA CLARA SAUVIGNON BLANC,칠레,아콩카구아 밸리,안티노리 ANTINORI CHILE SPA.,소비뇽 블랑(SAUVIGNON BLANC) 100%,13.5,3.6,화이트,4,0,2,0,318,289,구매 예약,https://www.winenara.com/uploads/product/550/ca955b84560a6fc3289519b591226b04.png,3.888839212
213,도멘 마르샹 그리요 프리미에 크뤼 쁘띠 샤펠,200000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03R224,DOMAINE MARCHAND GRILLOT GEVREY CHAMBERTIN 1 ER CRU PETITE CHAPELLE,프랑스,부르고뉴,도멘 마르샹 그리요 DOMAINE MARCHAND GRILLOT,피노 누아(PINOT NOIR) 100%,13.5,4.2,레드,3,0,4,3,320,291,구매 예약,https://www.winenara.com/uploads/product/550/9d81378da3eaf0fc8f507e4cc2e79969.png,4.485120182
214,인비보 X 사라 제시카 파커 로제,27000,없음,https://www.winenara.com/shop/product/product_view?product_cd=04E282,INVIVO X SJP ROSE,프랑스,프로방스,INVIVO X SJP,"생소(CINSAULT) 45%, 그르나슈(0GRENACHE) 45%, 시라(SYRAH) 10%",13,3.7,로제,3,0,2,0,324,16,구매 예약,https://www.winenara.com/uploads/product/550/5aa2b976ac36de9b8294f458c0f680e4.png,3.977682121
215,발레프레레 오뜨 꼬뜨 드 뉘,79000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03R037,VALLET FRERES HAUTE COTE DE NUITS,프랑스,부르고뉴,발레 프레레 Vallet Freres,피노 누아(PINOT NOIR) 100%,13,3.8,레드,4,0,3,3,325,298,구매 예약,https://www.winenara.com/uploads/product/550/276169b0588d43e5e4db6fb3482ab2f1.png,4.075822606
216,발레 프레레 제브리 샹베르땡 클로 드 라 저스티스,180000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03R035,VALLET FRERES GEVREY CHAMBERTIN CLOS DE LA JUSTICE,프랑스,부르고뉴,발레 프레레 Vallet Freres,피노 누아(PINOT NOIR) 100%,12.5,4.1,레드,3,0,3,3,326,299,구매 예약,https://www.winenara.com/uploads/product/550/69369073884b6e78a96a9bf398711060.png,4.373963091
217,샤또 기봉 화이트,19000,"민트/바질, 짠맛 치즈, 고소한 치즈, 상추.아보카도, 양파/마늘, 바닷가재/게, 파슬리, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 찜, 생선, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D940,CHATEAU GUIBON WHITE,프랑스,보르도,앙드레 뤼통,"소비뇽 블랑(SAUVIGNON BLANC) 78%, 세미용(SEMILLON) 22%",12,3.5,화이트,3,0,2,0,327,621,구매 예약,https://www.winenara.com/uploads/product/550/39ce46cfb0a04281560e82edf66a7bb9.png,3.772103575
218,수산나 발보 로제,39000,"민트/바질, 짠맛 치즈, 당근/호박, 돼지고기/닭고기, 살루미/베이컨",https://www.winenara.com/shop/product/product_view?product_cd=04D986,SUSANA BALBO ROSE,아르헨티나,-,수산나 발보,"말벡(MALBEC) 60%, 피노누아(PINOT NOIR) 40%",13,4.1,로제,3,1,3,0,333,305,구매 예약,https://www.winenara.com/uploads/product/550/7a81c0dc731e3d55402584297685a83c.png,4.360946484
219,수산나 발보 배럴 퍼멘티드 토론테스,39000,"민트/바질, 짠맛 치즈, 고소한 치즈, 상추.아보카도, 양파/마늘, 바닷가재/게, 파슬리, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 찜, 생선, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D985,SUSANA BALBO BARREL FERMENTED TORRONTES,아르헨티나,-,수산나 발보,토론테스(TORRONTES) 100%,13,3.9,화이트,3,0,3,0,334,306,구매 예약,https://www.winenara.com/uploads/product/550/d59c22f4f9a097d902c81cbca80601cf.png,4.159086969
220,오이스터 베이 스파클링 뀌베 브뤼,45000,"짠맛 치즈, 고소한 치즈, 조개/굴, 바닷가재/게, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04C625,OYSTER BAY SPARKING CUVEE BRUT,뉴질랜드,-,오이스터 베이,샤르도네 (CHARDONNAY) 100%,11,3.6,스파클링,3,0,3,0,346,352,구매 예약,https://www.winenara.com/uploads/product/550/3085_detail_036.png,3.836772787
221,산 필리포 브루넬로 디 몬탈치노 레 루체레 리제르바,320000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03R901,SAN FILIPPO BRUNELLO DI MONTALCINO LE LUCERE RISERVA,이탈리아,몬탈치노,산 필리포,산지오베제(SANGIOVESE) 100%,15,4.4,레드,3,0,4,4,347,226,구매 불가,https://www.winenara.com/uploads/product/550/3084_detail_068.png,4.634913272
222,프루노토 바롤로 리제르바 비냐 콜로넬로,350000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q134,PRUN0TTO BAROLO RISERVA VIGNA COLONELLO,이탈리아,피에몬테,"프루노토, 안티노리",네비올로(Nebbiolo) 100%,14,4.4,레드,4,0,4,4,348,498,구매 예약,https://www.winenara.com/uploads/product/550/3083_detail_028.png,4.633053757
223,에스쿠도 로호 바로네사P,120000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=02A856,ESCUDO ROJO BARONESA P,칠레,론,바롱 필립 드 로칠드 마이포 칠레 BARON PHILIPPE DE ROTHSCHILD CHILE,"카베르네 소비뇽(CABERNET SAUVIGNON) 76%, 카르메네르(CARMENERE) 9%, 쁘띠 베르도(PETIT VERDOT) 5.5% , 카베르네 프랑(CABERNET FRANC) 2%",14,4.4,레드,2,0,5,5,349,110,구매 예약,https://www.winenara.com/uploads/product/550/3082_detail_080.png,4.631194241
224,도멘 라 바로쉬 리버티,56000,"계피/바닐라, 고소한 치즈, 양파/마늘, 훈제, 소고기/양고기, 바비큐/데리야키, 파슬리, 강황/쿠민, 감칠맛 치즈, 표고버섯/느타리버섯, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03R306,DOMAINE LA BARROCHE LIBERTY,프랑스,론,도멘 라 바로쉬(Domaine La Barroche),"그르나슈(GRENACHE) 55%, 시라(SYRAH) 18%, 무드베드르(MOURVEDRE) 12%, 생소(CINSAULT)10%, 카리냥(CARIGNAN) 5%",14.5,3.9,레드,3,0,4,3,350,357,구매 예약,https://www.winenara.com/uploads/product/550/3081_detail_053.png,4.129334726
225,도멘드라가렌느 뿌이퓌세,79000,"민트/바질, 짠맛 치즈, 고소한 치즈, 상추.아보카도, 양파/마늘, 바닷가재/게, 파슬리, 버터맛 치즈, 감칠맛 치즈, 당근/호박, 찜, 생선, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D031,DOMAINE DE LA GARENNE POUILLY FUISSE,프랑스,부르고뉴,도멘 드 라 가렌느(Domaine de la Garenne),샤르도네(Chardonnay) 100%,13.5,4.1,화이트,4,1,2,1,351,601,구매 예약,https://www.winenara.com/uploads/product/550/3080_detail_071.png,4.327475211
226,아발론 레트로 카베르네 소비뇽,14900,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03Q909,AVALON RETRO CABERNET SAUVIGNON,미국,"캘리포니아, 노스 코스트, 나파 밸리",아발론 와이너리,카베르네 소비뇽 (Cabernet Sauvignon) 100%,13.5,3.5,레드,3,0,3,3,352,481,구매 예약,https://www.winenara.com/uploads/product/550/3075_detail_039.png,3.725615696
227,포데레 레 리피 '루피 에 시렌' BDM RISERVA,230000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03R013,PODERE LE RIPI 'LUPI E SIRENE' BDM RISERVA,이탈리아,토스카나,포데레 레 리피 PODERE LE RIPI SOCIETA AGRICOLA,산지오베제(SANGIOVESE) 100%,14.5,4.5,레드,4,0,3,4,354,375,구매 예약,https://www.winenara.com/uploads/product/550/3070_detail_042.png,4.721896665
228,포데레 레 리피 '시엘로 듀리쎄' BDM,120000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03R012,PODERE LE RIPI 'CIELO D'ULISSE' BDM,이탈리아,토스카나,포데레 레 리피 PODERE LE RIPI SOCIETA AGRICOLA,산지오베제(SANGIOVESE) 100%,14,4.2,레드,4,0,4,4,355,376,구매 예약,https://www.winenara.com/uploads/product/550/3069_detail_060.png,4.42003715
229,포데레 레 리피 '아모레 이 폴리아',65000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03R010,PODERE LE RIPI 'AMORE E FOLLIA',이탈리아,토스카나,포데레 레 리피 PODERE LE RIPI SOCIETA AGRICOLA,"산지오베제(SANGIOVESE)50%, 시라(SYRAH) 50%",14,4.1,레드,3,0,4,3,357,378,구매 예약,https://www.winenara.com/uploads/product/550/3067_detail_010.png,4.31631812
230,아델리나 쉬라즈 마타로,49000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03R253,ADELINA SHIRAZ MATARO,호주,"남호주, 클레어밸리",아델리나 와이너리ADELINA WINES,"쉬라즈(SHIRAZ) 78%, 마타로(MATARO) 22%",14,3.9,레드,4,0,4,4,360,382,구매 예약,https://www.winenara.com/uploads/product/550/3061_detail_062.png,4.110739574
231,아델리나 그르나슈,65000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03R254,ADELINA GRENACHE,호주,"남호주, 클레어밸리",아델리나 와이너리ADELINA WINES,그르나슈(GRENACHE) 100%,13.8,4,레드,3,0,3,3,362,384,구매 예약,https://www.winenara.com/uploads/product/550/3059_detail_023.png,4.207020544
232,수카르디 핀카 카날 우꼬,250000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03R962,ZUCCARDI FINCA CANAL UCO,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),카베르네 소비뇽(CABERNET SAUVIGNON) 100%,14.3,4.4,레드,3,0,4,3,369,391,구매 예약,https://www.winenara.com/uploads/product/550/3043_detail_023.png,4.594003938
233,수카르디 핀카 로스 멤브릴로스,250000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03R961,ZUCCARDI FINCA LOS MEMBRILLOS,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),카베르네 소비뇽(CABERNET SAUVIGNON) 100%,14,4.5,레드,4,0,4,4,370,392,구매 예약,https://www.winenara.com/uploads/product/550/3042_detail_079.png,4.692144423
234,수카르디 세리에 에이 토론테스,21900,"민트/바질, 계피/바닐라, 고소한 치즈, 상추.아보카도, 바닷가재/게, 바비큐/데리야키, 강황/쿠민, 버터맛 치즈, 당근/호박, 돼지고기/닭고기, 살루미/베이컨, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D971,ZUCCARDI SERIE A TORRONTES,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),토론테스(TORRONTES) 100%,14.5,3.8,화이트,3,0,3,3,371,393,구매 예약,https://www.winenara.com/uploads/product/550/3040_detail_058.png,3.990284907
235,이즈웨이 돈,180000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03R238,IZWAY DON,호주,"남호주, 바로사밸리",이즈웨이 와인즈 IZWAY WINES,쉬라즈(SHIRAZ) 100%,15.3,4.4,레드,3,0,5,4,372,395,구매 예약,https://www.winenara.com/uploads/product/550/2975_detail_078.png,4.588425392
236,이즈웨이 해럴드,99000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03R236,IZWAY HAROLD,호주,"남호주, 바로사밸리",이즈웨이 와인즈 IZWAY WINES,쉬라즈(SHIRAZ) 100%,14.8,4.3,레드,3,0,5,4,373,396,구매 예약,https://www.winenara.com/uploads/product/550/2974_detail_038.png,4.486565877
237,이즈웨이 브루스,85000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03R235,IZWAY BRUCE,호주,"남호주, 바로사밸리",이즈웨이 와인즈 IZWAY WINES,쉬라즈(SHIRAZ) 100%,14.9,4.3,레드,3,0,4,4,374,397,구매 예약,https://www.winenara.com/uploads/product/550/2973_detail_094.png,4.484706362
238,이즈웨이 롭 앤 레스,43000,"그릴/바베큐, 소고기/양고기, 강황/쿠민",https://www.winenara.com/shop/product/product_view?product_cd=03R234,IZWAY ROB AND LES,호주,"남호주, 바로사밸리",이즈웨이 와인즈 IZWAY WINES,쉬라즈(SHIRAZ) 100%,14.9,4,레드,3,0,3,3,375,398,구매 예약,https://www.winenara.com/uploads/product/550/2972_detail_011.png,4.182846847
