,이름,금액,페어링,주소,영문이름,나라,생산지,제조사,포도품종,알코올도수,평점,종류,산미,당도,바디감,탄닌,인기순위,추천순위,구매가능여부,이미지주소,평점지수
55,셀리에 데 프린스 꼬뜨 뒤 론 그랑 리저브,25000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바베큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03O022,CELLIER DES PRINCES CDR GRAND RESERVE,프랑스,"남부론, 꼬뜨 뒤 론",셀리에 데 프린스 (Cellier des Princes),"GSM (그르나슈 80%, 시라 15%, 무르베드르 5%)",14,3.8,레드,3,0,2,4,75,496,구매 예약,https://www.winenara.com/uploads/product/550/1559_detail_03.png,4.540701401
56,피에르 뤼통 레드,25000,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바베큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03N752,PIERRE LURTON BORDEAUX RED,프랑스,보르도,피에르 뤼통(Pierre Lurton),"메를로 (Merlot) 50%, 까베르네 프랑 (Caberent Franc) 30%, 까베르네 소비뇽 (Caberent Sauvignon) 20%",14.5,3.7,레드,3,1,3,4,76,91,구매 예약,https://www.winenara.com/uploads/product/550/1534_detail_045.png,4.438841886
57,닥터 린드만 빈90 모스카토,13900,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04C880,LINDEMAN'S BIN 90 MOSCATO,호주,뉴 사우스 웨일즈 & 빅토리아,린드만 (Lindeman’s),머스캣/고르도 (Muscat/Gordo),8,3.9,화이트,1,4,2,0,77,589,구매 예약,https://www.winenara.com/uploads/product/550/1381_detail_021.png,4.636982371
58,맥스 리제르바 시라,24900,"파슬리, 계피/바닐라, 강황/쿠민, 고소한치즈, 감칠맛치즈, 양파/마늘, 표고버섯/느타리버섯, 훈제, 돼지고기/닭고기, 소고기/양고기, 바베큐/데리야키",https://www.winenara.com/shop/product/product_view?product_cd=03N246,MAX RESERVA SYRAH,칠레,아콩카구아 밸리,비냐 에라주리즈,시라(Syrah) 100%,14,3.7,레드,3,1,4,4,78,176,구매 예약,https://www.winenara.com/uploads/product/550/770_detail_054.png,4.435122856
59,에이 투 지 오레곤 에센스 피노누아,55000,"고소한치즈, 양파/마늘, 표고버섯/느타리버섯, 튀김, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q330,A TO Z OREGON ESSENCE PINOT NOIR,미국,오레곤,에이 투 지 와인웍스,피노누아 100%,14,3.8,레드,4,0,3,2,81,160,구매 예약,https://www.winenara.com/uploads/product/550/2563_detail_079.png,4.52954431
60,트림바크 리슬링,39000,"민트/바질, 계피/바닐라, 강황/쿠민, 버터맛치즈, 고소한치즈, 상추/아보카도, 당근/호박, 바닷가재/게, 돼지고기/닭고기, 살루미/베이컨, 바비큐/데리야키, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D351,TRIMBACH RIESLING,프랑스,알자스,트림바크,리슬링(Riesling) 100%,13,3.7,화이트,3,1,3,1,86,366,구매 예약,https://www.winenara.com/uploads/product/550/740_detail_098.png,4.420246734
61,캔달 잭슨 빈트너스 리저브 카베르네 소비뇽,50000,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03N577,KENDALL JACKSON VINTNER'S RESERVE CABERNET SAUVIGNON,미국,캘리포니아,잭슨 패밀리 와인,"까베르네 소비뇽(Carbernet Sauvignon)92%, 까베르네 프랑(Cabernet Franc)4%쁘띠 베르도(Petit Verdot) 3%, 메를로(Merlot) 1%",13.5,3.7,레드,3,1,4,4,87,614,구매 예약,https://www.winenara.com/uploads/product/550/495_detail_057.png,4.418387219
62,프랑수아 라베 피노누아,19900,"고소한치즈, 양파/마늘, 표고버섯/느타리버섯, 튀김, 돼지고기/닭고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q641,FRANCOIS LABET PINOT NOIR,프랑스,"프랑스,코르시카",Francois Labet,피노 누아(PINOT NOIR) 100%,12,3.5,레드,3,0,2,2,88,10,구매 예약,https://www.winenara.com/uploads/product/550/2770_detail_047.png,4.216527704
63,산 텔모 리저브 말벡,13900,"강황/쿠민, 그릴/바베큐, 소고기/양고기",https://www.winenara.com/shop/product/product_view?product_cd=03Q269,SAN TELMO RESERVE MALBEC,아르헨티나,"아르헨티나, 멘도사",산 텔모 (San Telmo),말벡(MALBEC) 100%,13.7,3.8,레드,4,1,4,3,90,332,구매 예약,https://www.winenara.com/uploads/product/550/2623_detail_037.png,4.512808674
64,닥터루젠 레드 슬레이트 리슬링 드라이,27000,"민트/바질, 파슬리, 짠맛치즈, 버터맛치즈, 고소한치즈, 감칠맛치즈, 상추/아보카도, 당근/호박, 양파/마늘, 찜, 생선, 바닷가재/게, 새우",https://www.winenara.com/shop/product/product_view?product_cd=04D727,DR. LOOSEN RED SLATE RIESLING DRY,독일,"독일, 모젤",WEINGUT DR. LOOSEN,리슬링 (RIESLING) 100%,12,3.8,화이트,4,1,3,0,91,34,구매 예약,https://www.winenara.com/uploads/product/550/2607_detail_066.png,4.510949158
