,인기순위,이름,영문이름,종류,나라,생산지,제조사,포도품종,알코올도수,가격,평점,산도,당도,바디감,탄닌,주소,추천순위,구매가능여부
411,412,베커스 시라,BEKKERS SYRAH,Red,호주,맥라렌 베일,베커스(BEKKERS),시라(SYRAH) 100%,14.5,140000,4.6,3,0,5,5,https://www.winenara.com/goods/goods_view.php?goodsNo=2811,187,구매 예약
412,413,알파박스 앤 다이스 헤라클레스,ALPHA BOX AND DICE HERCULES,Red,호주,맥라렌 베일,알파 박스 & 다이스,쉬라즈 (SHIRAZ) 100%,16.0,99000,4.4,4,0,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2809,189,구매 예약
413,414,알파박스 앤 다이스 포그 네비올로,ALPHA BOX AND DICE FOG NEBBIOLO,Red,호주,맥라렌 베일,알파 박스 & 다이스,네비올로 (NEBBIOLO) 100%,14.7,49000,4.1,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2808,190,구매 불가
414,415,알파박스 앤 다이스 아포스틀,ALPHA BOX AND DICE APOSTLE,Red,호주,맥라렌 베일,알파 박스 & 다이스,"쉬라즈 (SHIRAZ) 93% , 쁘띠 시라 (PETITE SIRAH) 7%",14.1,49000,4.0,4,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2805,193,구매 예약
415,416,알파박스 앤 다이스 아이코나,ALPHA BOX AND DICE ICONA,Red,호주,맥라렌 베일,알파 박스 & 다이스,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,16.1,49000,4.2,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2804,194,구매 예약
416,417,알파박스 앤 다이스 시렌,ALPHA BOX AND DICE SIREN,Red,호주,맥라렌 베일,알파 박스 & 다이스,네로 다볼라(NERO D'AVOLA) 100%,13.8,45000,4.0,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2803,195,구매 예약
417,418,알파박스 앤 다이스 미스트레스,ALPHA BOX AND DICE MISTRESS,Red,호주,맥라렌 베일,알파 박스 & 다이스,"또우리가 나씨오날(TOURIGA NACIONAL) 49% , 템프라니요(TEMPRANILLO) 30% , 까리냥(CARIGNAN) 21%",13.8,35000,4.0,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2802,196,구매 예약
418,419,알파박스 앤 다이스 데드 와인메이커스 소사이어티 뮈스카,ALPHA BOX AND DICE DEAD WINEMAKERS SOCIETY MUSCAT,White,호주,"남호주, 맥라렌 베일",알파 박스 & 다이스,뮈스카(Muscat) 30%,12.4,35000,3.7,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2801,234,구매 예약
419,420,리틀뷰티 드라이 리슬링,LITTLE BEAUTY DRY RIESLING,White,뉴질랜드,"뉴질랜드,말보로",리틀 뷰티,리슬링(RIESLING) 100%,12.0,55000,3.9,5,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2799,262,구매 예약
420,421,리틀 뷰티 블랙 에디션 피노그리,LITTLE BEAUTY BLACK EDITION PINOT GRIS,White,뉴질랜드,"뉴질랜드,말보로",리틀 뷰티,피노그리 (PINOT GRIS) 100%,13.0,100000,4.0,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2798,263,구매 예약
421,422,디비누스,DIVINUS,Red,프랑스,"프랑스, 보르도",LES VIGNOBLES ANDRE LURTON,"메를로(MERLOT) 80% , 카베르네 소비뇽(CABERNET SAUVIGNON) 20%",13.0,150000,3.9,3,0,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2795,197,구매 예약
422,423,리틀 뷰티 블랙 에디션 소비뇽블랑,LITTLE BEAUTY BLACK EDITION SAUVIGNON BLANC,White,뉴질랜드,"뉴질랜드,말보로",리틀 뷰티,소비뇽 블랑 (Sauvignon Blanc) 100%,13.0,100000,4.2,4,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2788,264,구매 예약
423,424,조단 샤르도네,JORDAN CHARDONNAY,White,미국,"미국,캘리포니아,소노마",조단 와이너리(Jordan Vineyard & Winery),샤르도네(CHARDONNAY) 100%,13.7,120000,4.0,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2778,6,구매 예약
424,425,카띠에르 브뤼 프리미에 크뤼,CATTIER BRUT PREMIER CRU,Champagne,프랑스,상파뉴,CHAMPAGNE CATTIER,"피노 므니에(PINOT MEUNIER) 60%, 피노 누아(PINOT NOIR) 20% , 샤르도네(CHARDONNAY) 20%",12.5,85000,3.8,1,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2767,50,구매 예약
425,426,쇼 앤 스미스 렌스우드 피노누아,SHAW AND SMITH LENSWOOD PINOT NOIR,Red,호주,"호주, 남호주, 애들레이드 힐",SHAW AND SMITH,피노누아 (PINOT NOIR) 100%,13.0,109000,4.1,3,0,4,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2751,55,구매 예약
426,427,쇼 앤 스미스 렌스우드 샤르도네,SHAW AND SMITH LENSWOOD CHARDONNAY,White,호주,"호주, 남호주, 애들레이드 힐",SHAW AND SMITH,샤르도네(CHARDONNAY) 100%,13.0,109000,4.3,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2750,56,구매 예약
427,428,앤젤린 러시안 리버 밸리 피노누아,ANGELINE RUSSIAN RIVER VALLEY PINOT NOIR,Red,미국,"미국, 캘리포니아",MARTIN RAY and ANGELINE WINERY,피노 누아(PINOT NOIR) 100%,13.7,29900,3.7,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2747,59,구매 예약
428,429,파이퍼하이직 레어 08,PIPER HEIDSIECK RARE 08,Champagne,프랑스,샴페인,파이퍼 하이직,"샤르도네 (Chardonnay) 70%, 피노 누아 (Pinot Noir) 30%",12.0,400000,4.3,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2734,442,구매 예약
429,430,알파카 브뤼,ALPACA BRUT,Sparkling,칠레,-,VSPT,샤르도네(CHARDONNAY) 100%,12.0,25000,3.0,4,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2731,66,구매 예약
430,431,닥터 린드만 빈25 스파클링 뀌베,LINDEMAN'S BIN 25 SPARKLING CUVEE,Sparkling,호주,-,TREASURY WINE ESTATES,"피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY), 피노 므니에(PINOT MEUNIER)",12.0,20000,3.3,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2730,67,구매 예약
431,432,폴 당장 뀌베 카르트 누와,PAUL DANGIN CUVEE CARTE NOIRE,Champagne,프랑스,상파뉴,SARL DANGIN,"피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY), 피노 므니에(PINOT MEUNIER)",12.0,70000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2727,70,구매 예약
