,인기순위,이름,영문이름,종류,나라,생산지,제조사,포도품종,알코올도수,가격,평점,산도,당도,바디감,탄닌,주소,추천순위,구매가능여부
159,160,디아블로 소비뇽 블랑,DIABLO SAUVIGNON BLANC,White,칠레,"카사블랑카,리마리,라펠 밸리",콘차 이 토로,소비뇽 블랑 (Sauvignon Blanc) 100%,12.5,12900,3.4,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1043,574,구매 예약
160,161,샤또 보네 화이트,CHATEAU BONNET WHITE,White,프랑스,"보르도, 앙트르 드 메르",앙드레 뤼통,"소비뇽 블랑(Sauvignon Blanc) 50%, 세미용(Semillon) 40%, 뮈스까델(Muscadelle) 10%",12.0,38000,3.5,2,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1009,588,구매 불가
161,162,베커스 그르나슈,BEKKERS GRENACHE,Red,호주,맥라렌 베일,베커스(BEKKERS),그르나슈 (GRENACHE) 100%,14.5,120000,4.5,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2810,188,구매 예약
162,163,스피릿 오브 스시,SPIRIT OF SUSHI,White,프랑스,프랑스,,"소비뇽 블랑(SAUVIGNON BLANC), 뮈스카델(MUSCADELLE), 세미옹(SEMILLION)",12.5,35000,3.6,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2785,198,구매 불가
163,164,마틴 레이 소노마 코스트 피노누아,MARTIN RAY SONOMA COAST PINOT NOIR,Red,미국,"미국,캘리포니아,소노마",MARTIN RAY and ANGELINE WINERY,피노누아(PINOT NOIR) 100%,14.1,42000,3.8,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2744,61,구매 예약
164,165,닥터루젠 그라쳐 힘멜라이히 리슬링 드라이 '알테레벤' GG,"DR. LOOSEN GRAACHER HIMMERLREICH RIESLING GG ""ALTE REBEN"" DRY",White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,리슬링 (RIESLING) 100%,12.5,66000,4.1,4,1,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2609,31,구매 예약
165,166,에이 투 지 오레곤 버블스 로제,A TO Z OREGON BUBBLES ROSE,Sparkling,미국,오레곤,에이 투 지 와인웍스,"피노 누아(PINOT NOIR) 90%, 샤르도네(CHARDONNAY) 10%",12.5,35000,3.8,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2561,162,구매 예약
166,167,캔달 잭슨 빈트너스 리저브 샤르도네,KENDALL JACKSON VINTNER'S RESERVE CHARDONNAY,White,미국,캘리포니아,잭슨 패밀리 와인,샤르도네 (Chardonnay) 100%,13.5,45000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2542,597,구매 예약
167,168,하디스 스탬프 카베르네 메를로,HARDYS STAMP CABERNET MERLOT,Red,호주,호주 (South Eastern Australia),하디스 (Hardys),카베르네 소비뇽 (Cabernet Sauvignon) & 메를로 (Merlot),11.5,14900,3.5,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2057,219,구매 예약
168,169,폴 당장 뀌베 카르트 블랑쉬,PAUL DANGIN CUVEE CARTE BLANCHE,Champagne,프랑스,상파뉴(Champagne),당장 & 필스 (Dangin & Fils),샤르도네 (Chardonnay) 100%,12.0,70000,3.8,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1952,184,구매 예약
169,170,피안 델레 비네 로쏘 디 몬탈치노,PIAN DELLE VIGNE ROSSO DE MONTALCINO,Red,이탈리아,"토스카나, 몬탈치노",안티노리,산지오베제 100%,14.0,70000,3.9,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1893,355,구매 불가
170,171,샤또 벨뷰 피작,CHATEAU BELLEVUE FIGEAC,Red,프랑스,쌩떼밀리옹,율리스 카자본,"메를로 85%, 카베르네 프랑 10%, 카베르네 소비뇽 5%",13.0,55000,3.8,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1847,437,구매 예약
171,172,락베어 맥라렌 쉬라즈,ROCKBARE MCLAREN SHIRAZ,Red,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인즈,쉬라즈 100%,14.5,70000,3.9,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1767,254,구매 예약
172,173,아콩카구아 코스타 피노누아,ACONCAGUA COSTA PINOT NOIR,Red,칠레,아콩카구아 코스타,비냐 에라주리즈 (Vina Errazuriz),피노누아 100%,13.0,70000,3.7,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1648,175,구매 예약
173,174,시가 박스 카베르네 소비뇽,CIGAR BOX CABERNET SAUVIGNON,Red,칠레,마이포 밸리,시가 박스 와인 (Cigar Box Wine),카베르네소비뇽(Cabernet Sauvignon) 100%,13.5,25000,3.5,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1591,495,구매 예약
174,175,마르쿠스 몰리터 알테 레벤 자르 리슬링(화이트),Markus Molitor Alte Reben Saar,White,독일,모젤,마르쿠스 몰리터 (Markus Molitor),리슬링 (Riesling) 100%,12.0,65000,4.0,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1486,651,구매 예약
175,176,블랙타워 스파클링 아이스 로제,BLACK TOWER ICE ROSE,Rose,독일,유럽 커뮤니티 (European Community),레 켄더만 바인켈러라이(Reh Kendermann Weinkellerei),템프라니요 100%,11.0,19900,3.4,3,3,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1484,154,구매 불가
176,177,마르케제 안티노리 콘테사 마지,MARCHESE ANTINORI CONTESSA MAGGI,Sparkling,이탈리아,프란치아코르타 (Franciacorta),안티노리 (Antinori),"샤르도네 (Chardonnay) 75%, 피노 누아 (Pinot Noir) 25%",12.5,84000,4.2,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1456,137,구매 예약
177,178,샤또 꾸엥스-뤼통 레드,CHATEAU COUHINS LURTON RED,Red,프랑스,"프랑스, 보르도, 뻬삭 레오냥",앙드레 뤼통 (Andre Lurton),"메를로(Merlot) 75%, 까베르네 소비뇽(Cabernet Sauvignon) 25%",12.5,120000,4.0,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1433,519,구매 예약
178,179,블랙타워 클래식 리슬링,BLACK TOWER CLASSIC RIESLING,White,독일,"독일, 팔츠 (Pfalz)",레이 켄더만 바인켈러하이(Reh Kendermann Weinkellerei),리슬링 (Riesling) 100%,12.0,12900,3.3,3,1,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1432,540,구매 예약
179,180,블랙타워 돈펠더 피노누아,BLACK TOWER DORNFELDER PINOT NOIR,Red,독일,"독일, 팔라티네이트(Palatinate)",레이 켄더만 바인켈러하이(Reh Kendermann Weinkellerei),피노 누아 (Pinot Noir) 100%,5.5,14900,3.3,3,1,2,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1431,554,구매 예약
180,181,글로리오소 리오하 레세르바,GLORIOSO RIOJA RESERVA,Red,스페인,리오하,보데가스 팔라치오,템프라니요(Tempranillo) 100%,14.0,33000,3.8,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1184,249,구매 예약
181,182,에라주리즈 에스테이트 카르메네르,ERRAZURIZ ESTATE CARMENERE,Red,칠레,라펠 밸리,비냐 에라주리즈,까르메네르 (Carmenere) 100%,13.5,17900,3.7,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1033,168,구매 예약
182,183,맥스 리제르바 카르메네르,MAX RESERVA CARMENERE,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,까르메네르 (Carmenere) 100%,14.0,35000,3.8,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1031,224,구매 예약
183,184,아방트 샤르도네,AVANT CHARDONNAY,White,미국,캘리포니아,잭슨 패밀리 와인,샤르도네(Chardonnay) 100%,13.5,35000,3.7,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=831,656,구매 불가
184,185,샤또 라 루비에르 레드,CHATEAU LA LOUVIERE RED,Red,프랑스,"보르도, 빼삭 레오냥",앙드레 뤼통,"까베르네 소비뇽(Cabernet Sauvignon) 64%, 메를로(Merlot) 30%, 까베르네 프랑(Cabernet Franc) 3%, 쁘띠 베르도(Petit Verdot) 3%",12.5,150000,3.9,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=753,238,구매 예약
185,186,도멘 드 마르꾸 샤또 네프 뒤 빠쁘,DOMAINE DE MARCOUX CHATEAUNEUF DU PAPE,Red,프랑스,"꼬뜨 뒤 론, 남부 론, 샤또네프 뒤 파프",도멘 드 마르꾸,"그르나슈 (Grenache) 74%, 무르베드르 (Mourvedre) 14%, 시라 (Syrah) 9%,쌩소 (Cinsault) 3%",15.0,180000,4.2,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=747,310,구매 예약
186,187,체르바로 2019,CERVARO,White,이탈리아,"움브리아,오르비에토",안티노리,"샤르도네 (Chardonnay) 85%, 그레케토 (Grechetto) 15%",13.0,180000,4.4,4,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=581,529,구매 예약
187,188,루이 라뚜르 알록스 꼬똥,LOUIS LATOUR ALOXE CORTON,Red,프랑스,"부르고뉴, 꼬뜨 드 본, 알록스 꼬똥",루이 라뚜르,피노누아(Pinot Noir) 100%,13.5,150000,4.1,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=531,565,구매 예약
188,189,루이 부요 크레망 드 부르고뉴 로제,LOUIS BOUILLOT CREMANT DE BOURGOGNE ROSE,Rose,프랑스,"프랑스,부르고뉴",루이 부요(Louis Bouillot),"샤르도네(CHARDONNAY),가메(GAMAY), 피노 누아(PINOT NOIR)",12.5,39000,3.8,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2780,48,구매 예약
189,190,폴 당장 트레디시옹 밀레짐 2014,PAUL DANGIN TRADITION MILLESIME 2014,Champagne,프랑스,상파뉴,SARL DANGIN,"피노 누아(PINOT NOIR), 샤르도네(CHARDONNAY)",12.0,80000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2728,69,구매 예약
190,191,[하프와인] 알파카 카베르네 메를로,ALPACA CABERNET MERLOT,Red,칠레,센트럴 밸리,VSPT,"카베르네 소비뇽(Cabernet Sauvignon) 70%, 메를로(Merlot) 30%",13.0,8900,2.8,3,0,2,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2706,465,구매 예약
191,192,퍼스트 드랍 더 크림 쉬라즈,FIRST DROP THE CREAM SHIRAZ,Red,호주,바로사밸리,FIRST DROP WINES,쉬라즈(SHIRAZ) 100%,13.0,280000,4.3,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2694,78,구매 예약
192,193,커치 팔스타프 빈야드 소노마 코스트 피노누아,KUTCH FALSTAFF VINEYARD SONOMA COAST PINOT NOIR,Red,미국,"미국,캘리포니아,소노마",Kutch Wines,피노누아 (PINOT NOIR) 100%,12.5,130000,4.1,4,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2664,663,구매 예약
193,194,닥터루젠 리슬링,DR. LOOSEN RIESLING,White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,리슬링 (RIESLING) 100%,8.5,18000,3.9,4,2,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2654,25,구매 예약
194,195,마푸 소비뇽 샤르도네,MAPU SAUVIGNON CHARDONNAY,White,칠레,"칠레, 마울레 밸리",바롱 필립 드 로칠드 칠레,"소비뇽 블랑(SAUVIGNON BLANC) 80% , 샤르도네(CHARDONNAY) 20%",13.0,19000,3.3,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2634,119,구매 예약
195,196,리아논 레드 블렌드,Rhiannon Red Blend,Red,미국,"캘리포니아, 로다이",러더포드 와인 컴퍼니,"쁘띠 쉬라 57%, 쉬라 37%, 바르베라 3%",13.5,50000,3.9,4,2,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2583,88,구매 불가
196,197,제나토 소아베 클라시코,ZENATO SOAVE CLASSICO DOC,White,이탈리아,베네토,제나토,"가르가네가 70%, 샤르도네 30%",13.5,22000,3.5,4,0,1,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2047,204,구매 예약
197,198,[미니와인] 브리 로제 피노 누아,BREE ROSE PINOT NOIR,Rose,독일,독일,피너 메르테스,피노 누아 100%,11.0,7000,3.7,3,3,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2018,103,구매 예약
198,199,[미니와인] 브리 화이트 샤르도네,BREE WHITE CHARDONNAY,White,독일,독일,피터 메르테스,샤르도네 100%,12.0,7000,3.4,3,2,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2017,104,구매 예약
199,200,하트포드 코트 랜즈 엣지 피노누아,HARTFORD COURT LANDS EDGE PINOT NOIR,Red,미국,"캘리포니아, 소노마, 러시안 리버 밸리",하트포드 패밀리 와이너리,피노 누아 100%,14.9,150000,4.3,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1894,325,구매 예약
200,201,산타 크리스티나 키안티 수페리오레,SANTA CRISTINA CHIANTI SUPERIORE,Red,이탈리아,토스카나,산타 크리스티나 / 안티노리,산지오베제 외 토착품종 블렌딩,13.0,32000,3.7,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1844,455,구매 예약
201,202,락베어 바로사밸리 쉬라즈,ROCKBARE BAROSSA VALLEY SHIRAZ,Red,호주,"남호주, 바로사밸리",잭슨 패밀리 와인즈,쉬라즈 100%,14.5,99000,4.3,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1810,260,구매 예약
202,203,락베어 클레어 밸리 리슬링,ROCKBARE CLAREVALLEY RIESLING,White,호주,"남호주, 클레어밸리",잭슨 패밀리 와인즈,리슬링 100%,12.5,36000,3.8,4,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1771,182,구매 예약
203,204,라 샤펠 고르돈느 로제,LA CHAPELLE GORDONNE ROSE,Rose,프랑스,프로방스,샤또 라 고르돈느 (Chateau La Gordonne),"그르나슈 (Grenache), Syrah (쉬라), Cinsault (쌩소)",13.5,55000,4.0,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1550,627,구매 예약
204,205,쿠네 리오하 그란 레세르바,CUNE RIOJA GRAN RESERVA,Red,스페인,리오하 알타,쿠네 (CVNE),"템프라니요 (Tempranillo) 85%, 그라시아노 (Graciano) 10%, 마주엘로 (Mazuelo)15%",13.5,80000,4.0,4,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1513,536,구매 예약
205,206,본테라 메를로,BONTERRA MERLOT,Red,미국,"캘리포니아, 멘도치노 카운티",펫져 (Fetzer) /소유주 : 칠레 콘차 이 토로 (Concha y Toro),"메를로, 그르나슈, 시라, 말벡",14.6,50000,3.7,3,1,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1496,488,구매 불가
206,207,파이퍼 하이직 로제 소바쥬,PIPER HEIDSIECK ROSE SAUVAGE BRUT,Champagne,프랑스,샴페인,파이퍼 하이직,"피노 누아 (Pinot Noir), 피노 므니에 (Pinot Meunier)",12.0,95000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1146,362,구매 불가
207,208,레 로까이,LES ROCAILLES,Red,프랑스,보르도,앙드레 뤼통,"까베르네 소비뇽(Cabernet Sauvignon) 50%, 메를로(Merlot) 50%",12.5,13000,3.2,3,1,2,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1099,641,구매 예약
208,209,루이 라뚜르 제브리 샹베르땡,LOUIS LATOUR GEVREY CHAMBERTIN,Red,프랑스,"부르고뉴, 꼬뜨 드 뉘-제브리 샹베르땡",루이 라뚜르,피노 누아 (Pinot Noir) 100%,13.0,190000,4.0,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1022,368,구매 예약
209,210,산타 크리스티나 피노 그리지오,SANTA CRISTINA PINOT GRIGIO,White,이탈리아,프리울리 베네치아 쥴리아 & 베네토,"산타 크리스티나, 안티노리",피노 그리지오(Pinot Grigio) 100%,11.5,22000,3.6,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=837,613,구매 예약
210,211,캔달 잭슨 그랑 리저브 샤르도네,KENDALL JACKSON GRAND RESERVE CHARDONNAY,White,미국,"캘리포니아, 산타바바라 카운티, 몬테레이 카운티",잭슨 패밀리 와인,샤르도네 (Chardonnay) 100%,13.5,80000,3.8,4,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=834,639,구매 예약
211,212,아콩카구아 코스타 시라,ACONCAGUA COSTA SYRAH,Red,칠레,아콩카구아 코스타,비냐 에라주리즈,시라(Syrah) 100%,13.5,70000,3.9,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=539,557,구매 불가
212,213,베라짜노 키안티 클라시코,VERRAZZANO CHIANTI CLASSICO,Red,이탈리아,토스카나-키안티 클라시코,카스텔로 디 베라짜노,"산지오베제,까나이올로",14.5,48000,3.8,4,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=528,575,구매 불가
213,214,프루노토 랑게 아르네이스,PRUNOTTO LANGHE ARNEIS,White,이탈리아,피에몬테,"프루노토, 안티노리",아르네이스(ARNEIS) 100%,13.0,30000,3.7,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2871,423,구매 예약
214,215,알파박스 앤 다이스 타로 프로세코,ALPHA BOX AND DICE TAROT PROSECCO,Sparkling,호주,맥라렌 베일,알파 박스 & 다이스,프로세코(PROSECCO) 100%,11.0,25000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2807,191,구매 불가
215,216,[미니와인] 클림트 키스 뀌베 브뤼,KLIMT KISS CUVEE BRUT,Sparkling,기타 구대륙,오스트리아 (Austria),슐럼베르거 ( Schlumberger ),"웰치리슬링(Welschriesling), 피노블랑( Pinot blanc),샤르도네(Chardonnay)",11.5,12000,3.6,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2790,593,구매 불가
216,217,라 마스코타 스파클링 로제 엑스트라 브뤼,LA MASCOTA SPARKLING ROSE EXTRA BRUT,Sparkling,아르헨티나,-,Penaflor,피노누아(PINOT NOIR) 100%,12.0,27000,3.8,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2732,65,구매 예약
217,218,리지니 브루넬로 디 몬탈치노 리제르바,LISINI BRUNELLO DI MONTALCINO RISERVA,Red,이탈리아,"이태리, 토스카나",AZIENDA LISINI,산지오베제 (Sangiovese) 100%,14.5,230000,4.3,5,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2658,11,구매 예약
218,219,하디스 HRB 쉬라즈,HARDYS HRB SHIRAZ,Red,호주,"호주, 남호주",하디스 (Hardys),쉬라즈(SHIRAZ) 100%,14.5,70000,3.7,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2617,214,구매 예약
219,220,닥터루젠 에르데네 프랄라트 리슬링 드라이 리저브 GG,DR. LOOSEN ERDENER PRALAT RIESLING DRY GG RESERVE,White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,리슬링 (RIESLING) 100%,12.5,350000,4.4,4,1,5,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2611,29,구매 예약
220,221,베이 오브 파이어 피노누아,Bay of Fires Pinot Noir,Red,호주,타즈매니아,,피노 누아(Pinot Noir) 100%,13.5,45000,4.0,4,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2600,81,구매 예약
221,222,와일드얼스 리슬링,WILD EARTH RIESLING,White,뉴질랜드,"센트럴 오타고, 뉴질랜드",Wild earth,리슬링,13.0,45000,3.8,4,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2568,321,구매 예약
222,223,[미니와인] 푸두 카베르네 소비뇽 쉬라즈,PUDU CABERNET SAUVIGNON SHIRAZ,Red,칠레,센트럴 밸리,,"카베르네 소비뇽(51%) , 쉬라즈(49%)",12.5,5200,2.9,2,0,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2011,107,구매 예약
223,224,바독 레드 블렌드,BAR DOG RED BLEND,Red,미국,캘리포니아,바 독,"메를로 86%, 카베르네 소비뇽 10%, 쉬라 4%",13.5,32000,3.8,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1938,208,구매 예약
224,225,엠 로제,M ROSE,Rose,이탈리아,피에몬테,산테로,"모스카토, 브라케토",3.0,17500,2.8,2,4,1,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1866,644,구매 예약
225,226,[더블매그넘]보타 박스 샤르도네,BOTA BOX CHARDONNAY,White,미국,캘리포니아,델리카토 패밀리,샤르도네 100%,13.0,59000,3.2,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1831,558,구매 예약
226,227,발베란 20 만자나스,VALVERAN 20 MANZANAS,White,스페인,사리에고,"마사보 보데가스, 발베란",토착품종 사과,9.5,69000,4.3,4,4,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1824,618,구매 예약
227,228,마셋 가르나챠,MASET GARNATXA,Red,스페인,카탈루냐 DO,마셋,가르나챠 100%,14.0,20000,3.5,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1778,116,구매 불가
228,229,시가 박스 피노누아,CIGAR BOX PINOT NOIR,Red,칠레,카사블랑카 밸리 (Casablanca Valley),,피노 누아 (Pinot Noir) 100%,13.6,25000,3.6,3,0,3,1,https://www.winenara.com/goods/goods_view.php?goodsNo=1592,486,구매 예약
229,230,시가 박스 말벡,CIGAR BOX MALBEC,Red,칠레,멘도자 (Mendoza),시가 박스 와인 (Cigar Box Wine),말벡 (Malbec) 100%,13.5,25000,3.6,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1590,517,구매 예약
230,231,보리우 빈야드(BV) 캘리포니아 샤르도네,BV CALIFORNIA CHARDONNAY,White,미국,캘리포니아,보리우 빈야드 (Beaulieu Vineyards),샤르도네 (Chardonnay),13.8,35000,3.6,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1489,595,구매 예약
231,232,에스쿠도 로호 리제르바 카베르네 소비뇽,ESCUDO ROJO RESERVA CABERNET SAUVIGNON,Red,칠레,마이포 밸리,바롱 필립 드 로칠드 마이포 칠레,까베르네 소비뇽(Cabernet Sauvignon) 100%,14.0,34000,3.7,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1152,314,구매 예약
232,233,양가라 올드바인 그르나슈,YANGARRA OLD VINE GRENACHE,Red,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인,그르나슈 (Grenache) 100%,14.5,65000,3.8,4,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1129,507,구매 불가
233,234,맥스 리제르바 샤르도네,MAX RESERVA CHARDONNAY,White,칠레,아콩카구아 밸리,비냐 에라주리즈,샤르도네 (Chardonnay) 100%,13.5,35000,3.7,2,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=967,510,구매 예약
234,235,에라주리즈 에스테이트 카베르네 소비뇽,ERRAZURIZ ESTATE CABERNET SAUVIGNON,Red,칠레,"아콩카구아 밸리, 마이포 밸리",비냐 에라주리즈,까베르네 소비뇽 (Cabernet Sauvignon) 100,13.5,17500,3.5,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=833,642,구매 예약
235,236,캔달 잭슨 그랑 리저브 카베르네 소비뇽,KENDALL JACKSON GRAND RESERVE CABERNET SAUVIGNON,Red,미국,"캘리포니아, 소노마 코스트",잭슨 패밀리 와인,"까베르네 소비뇽 (Cabernet Sauvignon) 94.8%, 쁘띠 베르도 (Petit Verdot) 4.4%, 메를로 (Merlot) 0.5%, 까베르네 프랑 (Cabernet Franc) 0.2%",13.5,95000,3.9,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=809,127,구매 예약
236,237,프루노토 부시아 바롤로,PRUNOTTO BUSSIA BAROLO,Red,이탈리아,"피에몬테, 바롤로","프루노토, 안티노리",네비올로(Nebbiolo) 100%,14.0,150000,4.1,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=641,499,구매 예약
237,238,루이 라뚜르 뿌이 퓌세,LOUIS LATOUR POUILLY FUISSE,White,프랑스,"부르고뉴, 마꼬네, 뿌이 퓌세",루이 라뚜르,샤르도네 (Chardonnay) 100%,12.5,72000,3.9,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=518,582,구매 예약
238,239,에쿠스 카베르네 소비뇽,EQUUS CABERNET SAUVIGNON,Red,칠레,마이포 밸리,하라스 데 피르케,"까베르네 소비뇽(Carbernet Sauvignon) 90%, 시라(Syrah) 10%",14.0,25900,3.3,4,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=501,607,구매 예약
239,240,에라주리즈 에스테이트 샤르도네,ERRAZURIZ ESTATE CHARDONNAY,White,칠레,카사블랑카 밸리,비냐 에라주리즈,샤르도네(CHARDONNAY) 100%,13.0,17500,3.5,1,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2958,166,구매 예약
240,241,카스텔로 데이 람폴라 사마르코,CASTELLO DEI RAMPOLLA SAMMARCO,Red,이탈리아,토스카나,카스텔로 데이 람폴라(CASTELLO DEI RAMPOLLA),"카베르네 소비뇽(CABERNET SAUVIGNON) 90%, 산지오베제(SANGIOVESE) 10%",14.5,190000,4.2,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2953,407,구매 예약
241,242,카스텔로 데이 람폴라 달체오,CASTELLO DEI RAMPOLLA D'ALCEO,Red,이탈리아,토스카나,카스텔로 데이 람폴라(CASTELLO DEI RAMPOLLA),"카베르네 소비뇽(CABERNET SAUVIGNON) 85%, 산지오베제(SANGIOVESE) 15%",14.5,350000,4.4,4,0,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2952,408,구매 예약
242,243,마스 가비넬 하히심,MAS GABINELE RARISSIME,Red,프랑스,남프랑스,마스 가비넬(MAS GABINELE),"시라(SYRAH)70%, 그르나슈(GRENACHE)25%, 무드베드르(MOURVEDRE) 5%",15.0,90000,4.2,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2925,410,구매 예약
243,244,마쎄리아 도피오 파쏘 아파씨멘토,MASSERIA DOPPIO PASSO APPASSIMENTO,Red,이탈리아,풀리아,마쎄리아 도피오 파쏘(Masseria Doppio Passo),"네그로 아마로(NEGROAMARO)80%, 말바지아(MALVASIA)10%, 메를로(MERLOT)10%",14.5,27000,3.8,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2903,415,구매 예약
244,245,알파박스 앤 다이스 솔라,ALPHA BOX AND DICE XOLA,Red,호주,"호주, 남호주, 맥라렌 베일",알파박스&다이스 (ALPHA BOX AND DICE),알리아니코(AGLIANICO) 100%,14.2,49000,4.1,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2783,200,구매 예약
245,246,에스프리 드 생 피에르,ESPRIT DE SAINT PIERRE,Red,프랑스,"프랑스,보르도,생-쥴리앙",샤또 생 피에르(Chateau Saint-Pierre),"카베르네 소비뇽 (CABERNET SAUVIGNON) 75% , 메를로(MERLOT) 15% , 카베르네 프랑(CABERNET FRANC) 10%",13.5,75000,3.9,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2776,8,구매 예약
246,247,쇼 앤 스미스 피노누아,SHAW AND SMITH M3 PINOT NOIR,Red,호주,"호주, 남호주, 애들레이드 힐",SHAW AND SMITH,피노누아 (PINOT NOIR) 100%,12.5,59000,3.8,3,0,3,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2749,57,구매 예약
