,이름,영문이름,종류,나라,생산지,제조사,포도품종,주포도품종,알코올도수,가격,평점,산도,당도,바디감,탄닌,주소
316,디오라 로제,DIORA ROSE,Rose,미국,"캘리포니아,몬테레이",델리카토 패밀리 DELICATO FAMILY,"피노 누아(PINOT NOIR) 84%, 그르나슈(GRENACHE) 8%, 시라(SYRAH) 4%, 샤르도네(CHARDONNAY) 3%, 말벡(MALBEC) 1%","피노 누아(PINOT NOIR) 84%, 그르나슈(GRENACHE) 8%, 시라(SYRAH) 4%, 샤르도네(CHARDONNAY) 3%, 말벡(MALBEC) 1%",12,37000,4.1,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3138
317,알바 클라라 소비뇽 블랑,ALBA CLARA SAUVIGNON BLANC,White,칠레,아콩카구아 밸리,안티노리 ANTINORI CHILE SPA.,소비뇽 블랑(SAUVIGNON BLANC) 100%,소비뇽 블랑(SAUVIGNON BLANC) 100%,13.5,19900,3.6,4,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3136
318,도멘 마르샹 그리요 후쇼트 샹베르땡 그랑 크뤼,DOMAINE MARCHAND GRILLOT RUCHOTTES-CHAMBERTIN GRAND GRU,Red,프랑스,부르고뉴,도멘 마르샹 그리요 DOMAINE MARCHAND GRILLOT,피노 누아(PINOT NOIR) 100%,피노 누아(PINOT NOIR) 100%,13.5,550000,4.4,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3135
319,도멘 마르샹 그리요 프리미에 크뤼 쁘띠 샤펠,DOMAINE MARCHAND GRILLOT GEVREY CHAMBERTIN 1 ER CRU PETITE CHAPELLE,Red,프랑스,부르고뉴,도멘 마르샹 그리요 DOMAINE MARCHAND GRILLOT,피노 누아(PINOT NOIR) 100%,피노 누아(PINOT NOIR) 100%,13.5,200000,4.2,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3134
320,도멘 마르샹 그리요 프리미에 크뤼 라 페리에,DOMAINE MARCHAND GRILLOT GEVREY CHAMBERTIN 1 ER CRU LA PERRIERE,Red,프랑스,부르고뉴,도멘 마르샹 그리요 DOMAINE MARCHAND GRILLOT,피노 누아(PINOT NOIR) 100%,피노 누아(PINOT NOIR) 100%,13.5,160000,4.0,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3133
321,도멘 마르샹 그리요 제브리 샹베르땡 르 크레오,DOMAINE MARCHAND GRILLOT GEVREY CHAMBERTIN LE CREOT,Red,프랑스,부르고뉴,도멘 마르샹 그리요 DOMAINE MARCHAND GRILLOT,피노 누아(PINOT NOIR) 100%,피노 누아(PINOT NOIR) 100%,13.5,120000,4.0,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=3132
322,도멘 마르샹 그리요 제브리 샹베르땡,DOMAINE MARCHAND GRILLOT GEVREY CHAMBERTIN,Red,프랑스,부르고뉴,도멘 마르샹 그리요 DOMAINE MARCHAND GRILLOT,피노 누아(PINOT NOIR) 100%,피노 누아(PINOT NOIR) 100%,13.5,100000,4.1,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3131
323,인비보 X 사라 제시카 파커 로제,INVIVO X SJP ROSE,Rose,프랑스,프로방스,INVIVO X SJP,"생소(CINSAULT) 45%, 그르나슈(0GRENACHE) 45%, 시라(SYRAH) 10%","생소(CINSAULT) 45%, 그르나슈(0GRENACHE) 45%, 시라(SYRAH) 10%",13,27000,3.7,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3130
324,발레프레레 오뜨 꼬뜨 드 뉘,VALLET FRERES HAUTE COTE DE NUITS,Red,프랑스,부르고뉴,발레 프레레 Vallet Freres,피노 누아(PINOT NOIR) 100%,피노 누아(PINOT NOIR) 100%,13,79000,3.8,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3126
325,발레 프레레 제브리 샹베르땡 클로 드 라 저스티스,VALLET FRERES GEVREY CHAMBERTIN CLOS DE LA JUSTICE,Red,프랑스,부르고뉴,발레 프레레 Vallet Freres,피노 누아(PINOT NOIR) 100%,피노 누아(PINOT NOIR) 100%,12.5,180000,4.1,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3125
326,샤또 기봉 화이트,CHATEAU GUIBON WHITE,White,프랑스,보르도,앙드레 뤼통,"소비뇽 블랑(SAUVIGNON BLANC) 78%, 세미용(SEMILLON) 22%","소비뇽 블랑(SAUVIGNON BLANC) 78%, 세미용(SEMILLON) 22%",12,19000,3.5,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3123
327,바니에 파니에르 그랑 빈티지 2013,VARNIER FANNIERE GRAND VINTAGE 2013,Champagne,프랑스,상파뉴,바니에 파니에르CHAMPAGNE VARNIER FANNIERE,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,12.5,190000,4.4,5,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3122
328,바니에 파니에르 장 파니에르 오리진 그랑크뤼,"VARNIER FANNIERE JEAN FANNIERE ORIGINE"" GRAND CRU",Champagne,프랑스,상파뉴,바니에 파니에르CHAMPAGNE VARNIER FANNIERE,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,12,130000,3.9,5,0,5,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3121
329,바니에 파니에르 뀌베 생 데니스 브뤼,VARNIER FANNIERE CUVEE ST-DENIS BRUT,Champagne,프랑스,상파뉴,바니에 파니에르CHAMPAGNE VARNIER FANNIERE,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,12,120000,4.0,5,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3120
330,바니에 파니에르 에스피릿 드 크라이에 엑스트라 브뤼,VARNIER FANNIERE ESPIRIT DE CRAIER EXTRA BRUT,Champagne,프랑스,상파뉴,바니에 파니에르CHAMPAGNE VARNIER FANNIERE,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,12,99000,3.9,4,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3119
331,[한정수량] 실뱅카티아르 오뜨 꼬뜨 드 뉘 오 숌 루즈,SVC HAUTES COTES DE NUITS 'AU CHAUMES' ROUGE,Red,프랑스,부르고뉴,실뱅 카티아르 DOMAINE SYLVAIN CATHIARD & FILS,피노누아(PINOT NOIR) 100%,피노누아(PINOT NOIR) 100%,12.5,220000,4.0,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3109
332,수산나 발보 로제,SUSANA BALBO ROSE,Rose,아르헨티나,-,수산나 발보,"말벡(MALBEC) 60%, 피노누아(PINOT NOIR) 40%","말벡(MALBEC) 60%, 피노누아(PINOT NOIR) 40%",13,39000,4.1,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3107
333,수산나 발보 배럴 퍼멘티드 토론테스,SUSANA BALBO BARREL FERMENTED TORRONTES,White,아르헨티나,-,수산나 발보,토론테스(TORRONTES) 100%,토론테스(TORRONTES) 100%,13,39000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3106
334,인사이트 소비뇽블랑,INSIGHT SAUVIGNON BLANC,White,뉴질랜드,말보로,인사이트 와이너리 Insight Winery,소비뇽 블랑(SAUVIGNON BLANC) 100%,소비뇽 블랑(SAUVIGNON BLANC) 100%,13.5,40000,4.1,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3099
335,베이 오브 파이어 샤르도네,BAY OF FIRES CHARDONNAY,White,호주,"호주, 타스매니아",,샤르도네(CHARDONNAY) 100%,샤르도네(CHARDONNAY) 100%,13.5,52000,4.1,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3097
336,테 와레 라 피노누아,TWR PINOT NOIR,Red,뉴질랜드,-,테 와레 라 와인TE WHARE RA WINES LTD,피노 누아(PINOT NOIR) 100%,피노 누아(PINOT NOIR) 100%,13,52000,4.0,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3095
337,테 와레 라 소비뇽 블랑,TWR SAUVIGNON BLANC,White,뉴질랜드,-,테 와레 라 와인TE WHARE RA WINES LTD,소비뇽 블랑(SAUVIGNON BLANC) 100%,소비뇽 블랑(SAUVIGNON BLANC) 100%,13.2,30000,4.1,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3094
338,테 와레 라 리슬링,"TWR SINGLE VINEYARD RIESLING ""M""",White,뉴질랜드,-,,리슬링(RIESLING) 100%,리슬링(RIESLING) 100%,10.2,35000,3.9,3,2,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3093
339,테 와레 라 드라이 리슬링,TWR SINGLE VINEYARD RIESLING DRY,White,뉴질랜드,-,,리슬링(RIESLING) 100%,리슬링(RIESLING) 100%,12.5,35000,3.7,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3092
340,룩벨레어 로제 기프트 박스,LUC BELAIRE ROSE FANTOME GIFT BOX,Sparkling,프랑스,프로방스 꼬뜨 다쥐르,룩 벨레어,"시라(SYRAH) 90%, 그르나슈(GRENACHE) 5% 생소(CINSAUT) 5%","시라(SYRAH) 90%, 그르나슈(GRENACHE) 5% 생소(CINSAUT) 5%",12.5,62000,3.9,3,1,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3090
341,룩벨레어 럭스 기프트 박스,LUC BELAIRE LUXE RARE GIFT BOX,Sparkling,프랑스,-,룩 벨레어(Luc Belaire),샤르도네(Chardonnay) 100%,샤르도네(Chardonnay) 100%,12.5,68000,3.8,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3089
342,세르반테스 에스테이트 블랙 테일 레드 블렌드,CERVANTES NAPA VALLEY BLACK TAIL RED BLEND,Red,미국,"캘리포니아, 나파",세르반테스 패밀리 빈야드 Cervantes Family Vineyard,"말벡(MALBEC)37%, 카베르네 소비뇽(CABERNET SAUVIGNON) 36%, PETITE SIRAH 23%, 쁘띠 베르도(PETIT VERDOT) 4%","말벡(MALBEC)37%, 카베르네 소비뇽(CABERNET SAUVIGNON) 36%, PETITE SIRAH 23%, 쁘띠 베르도(PETIT VERDOT) 4%",14.8,350000,4.7,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=3088
343,세르반테스 나파밸리 카베르네 소비뇽,CERVANTES NAPA VALLEY CABERNET SAUVIGNON,Red,미국,"캘리포니아, 나파",세르반테스 패밀리 빈야드 Cervantes Family Vineyard,"카베르네 소비뇽(CABERNET SAUVIGNON) 87%, 쁘띠 베르도(PETIT VERDOT) 10%, 말벡(MALBEC) 3%","카베르네 소비뇽(CABERNET SAUVIGNON) 87%, 쁘띠 베르도(PETIT VERDOT) 10%, 말벡(MALBEC) 3%",14.8,350000,4.6,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=3087
344,룩벨레어 럭스 로제 기프트 박스,LUC BELAIRE 2021 GIFT BOX LUXE ROSE,Sparkling,프랑스,-,룩 벨레어(Luc Belaire),"80% Shiraz/Syrah, 15% Grenache, 5% Cinsault","80% Shiraz/Syrah, 15% Grenache, 5% Cinsault",12.5,62000,3.6,3,2,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3086
345,오이스터 베이 스파클링 뀌베 브뤼,OYSTER BAY SPARKING CUVEE BRUT,Sparkling,뉴질랜드,-,오이스터 베이,샤르도네 (CHARDONNAY) 100%,샤르도네 (CHARDONNAY) 100%,11,60000,3.6,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3085
346,산 필리포 브루넬로 디 몬탈치노 레 루체레 리제르바,SAN FILIPPO BRUNELLO DI MONTALCINO LE LUCERE RISERVA,Red,이탈리아,몬탈치노,산 필리포,산지오베제(SANGIOVESE) 100%,산지오베제(SANGIOVESE) 100%,15,320000,4.4,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=3084
347,프루노토 바롤로 리제르바 비냐 콜로넬로,PRUN0TTO BAROLO RISERVA VIGNA COLONELLO,Red,이탈리아,피에몬테,"프루노토, 안티노리",네비올로(Nebbiolo) 100%,네비올로(Nebbiolo) 100%,14,450000,4.4,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=3083
348,에스쿠도 로호 바로네사P,ESCUDO ROJO BARONESA P,Red,칠레,론,바롱 필립 드 로칠드 마이포 칠레 BARON PHILIPPE DE ROTHSCHILD CHILE,"카베르네 소비뇽(CABERNET SAUVIGNON) 76%, 카르메네르(CARMENERE) 9%, 쁘띠 베르도(PETIT VERDOT) 5.5% , 카베르네 프랑(CABERNET FRANC) 2%","카베르네 소비뇽(CABERNET SAUVIGNON) 76%, 카르메네르(CARMENERE) 9%, 쁘띠 베르도(PETIT VERDOT) 5.5% , 카베르네 프랑(CABERNET FRANC) 2%",14,150000,4.4,2,0,5,5,https://www.winenara.com/goods/goods_view.php?goodsNo=3082
349,도멘 라 바로쉬 리버티,DOMAINE LA BARROCHE LIBERTY,Red,프랑스,론,도멘 라 바로쉬(Domaine La Barroche),"그르나슈(GRENACHE) 55%, 시라(SYRAH) 18%, 무드베드르(MOURVEDRE) 12%, 생소(CINSAULT)10%, 카리냥(CARIGNAN) 5%",그르나슈,14.5,64000,3.9,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3081
350,도멘드라가렌느 뿌이퓌세,DOMAINE DE LA GARENNE POUILLY FUISSE,White,프랑스,부르고뉴,도멘 드 라 가렌느(Domaine de la Garenne),샤르도네(Chardonnay) 100%,샤르도네(Chardonnay) 100%,13.5,110000,4.1,4,1,2,1,https://www.winenara.com/goods/goods_view.php?goodsNo=3080
351,아발론 레트로 카베르네 소비뇽,AVALON RETRO CABERNET SAUVIGNON,Red,미국,"캘리포니아, 노스 코스트, 나파 밸리",아발론 와이너리,카베르네 소비뇽 (Cabernet Sauvignon) 100%,카베르네 소비뇽 (Cabernet Sauvignon) 100%,13.5,14900,3.5,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3075
352,포데레 레 리피 '본사이',PODERE LE RIPI 'BONSAI',Red,이탈리아,토스카나,포데레 레 리피 PODERE LE RIPI SOCIETA AGRICOLA,산지오베제(SANGIOVESE) 100%,산지오베제(SANGIOVESE) 100%,15,600000,4.5,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3071
353,포데레 레 리피 '루피 에 시렌' BDM RISERVA,PODERE LE RIPI 'LUPI E SIRENE' BDM RISERVA,Red,이탈리아,토스카나,포데레 레 리피 PODERE LE RIPI SOCIETA AGRICOLA,산지오베제(SANGIOVESE) 100%,산지오베제(SANGIOVESE) 100%,14.5,270000,4.5,4,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=3070
354,포데레 레 리피 '시엘로 듀리쎄' BDM,PODERE LE RIPI 'CIELO D'ULISSE' BDM,Red,이탈리아,토스카나,포데레 레 리피 PODERE LE RIPI SOCIETA AGRICOLA,산지오베제(SANGIOVESE) 100%,산지오베제(SANGIOVESE) 100%,14,120000,4.2,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=3069
355,포데레 레 리피 '카나토르타',PODERE LE RIPI 'CANNATORTA',White,이탈리아,토스카나,포데레 레 리피 PODERE LE RIPI SOCIETA AGRICOLA,"트레비아노 토스카노(TREBBIANO TOSCANO) 90%, 말바지아(MALVASIA) 10%","트레비아노 토스카노(TREBBIANO TOSCANO) 90%, 말바지아(MALVASIA) 10%",12.5,65000,3.8,4,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3068
356,포데레 레 리피 '아모레 이 폴리아',PODERE LE RIPI 'AMORE E FOLLIA',Red,이탈리아,토스카나,포데레 레 리피 PODERE LE RIPI SOCIETA AGRICOLA,"산지오베제(SANGIOVESE)50%, 시라(SYRAH) 50%","산지오베제(SANGIOVESE)50%, 시라(SYRAH) 50%",14,65000,4.1,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3067
357,초콜렛 N2,CHOCOLATE N2,White,스페인,리오하,아르테비노 그룹 ARTEVINO,"비우라(VIURA) 60%, 템프라니요(TEMPRANILLO) 20%, 말바지아(MALVASIA) 10%, 마투라나 블랑카(MATURANA BLANCA) 10%","비우라(VIURA) 60%, 템프라니요(TEMPRANILLO) 20%, 말바지아(MALVASIA) 10%, 마투라나 블랑카(MATURANA BLANCA) 10%",14,65000,4.1,4,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3066
358,아델리나 워터베일 리슬링,ADELINA WATERVALE RIESLING,White,호주,"남호주, 클레어밸리",아델리나 와이너리ADELINA WINES,리슬링(RIESLING) 100%,리슬링(RIESLING) 100%,11.5,33000,3.8,4,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3063
359,아델리나 쉬라즈 마타로,ADELINA SHIRAZ MATARO,Red,호주,"남호주, 클레어밸리",아델리나 와이너리ADELINA WINES,"쉬라즈(SHIRAZ) 78%, 마타로(MATARO) 22%","쉬라즈(SHIRAZ) 78%, 마타로(MATARO) 22%",14,49000,3.9,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=3061
360,아델리나 쉬라즈,ADELINA SHIRAZ,Red,호주,"남호주, 클레어밸리",아델리나 와이너리ADELINA WINES,쉬라즈(SHIRAZ) 100%,쉬라즈(SHIRAZ) 100%,13,70000,3.8,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=3060
361,아델리나 그르나슈,ADELINA GRENACHE,Red,호주,"남호주, 클레어밸리",아델리나 와이너리ADELINA WINES,그르나슈(GRENACHE) 100%,그르나슈,13.8,65000,4.0,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3059
362,베니카 피노 그리지오 제세라,VENICA PINOT GRIGIO JESERA,White,이탈리아,-,베니카 VENICA,피노 그리지오(PINOT GRIS) 100%,피노 그리지오(PINOT GRIS) 100%,13.5,45000,4.1,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3056
363,베니카 프리울라노 론꼬 델 키메,VENICA FRIULANO RONCO DELLE CIME,White,이탈리아,-,베니카 VENICA,프리울라노(TOCAI FRIULANO) 100%,프리울라노(TOCAI FRIULANO) 100%,14,55000,3.9,4,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3055
364,베니카 트레 비니스,VENICA TRE VIGNIS,White,이탈리아,-,베니카 VENICA,"프리울라노(TOCAI FRIULANO)50%, 샤르도네(CHARDONNAY)30%, 소비뇽 블랑(SAUVIGNON BLANC) 20%","프리울라노(TOCAI FRIULANO)50%, 샤르도네(CHARDONNAY)30%, 소비뇽 블랑(SAUVIGNON BLANC) 20%",13.5,55000,3.9,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3054
365,베니카 인시에메 메를로,VENICA INSIEME MERLOT,Red,이탈리아,-,베니카 VENICA,메를로(MERLOT) 100%,메를로(MERLOT) 100%,14,90000,3.7,2,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3053
366,베니카 소비뇽 론꼬 델 메레,VENICA SAUVIGNON RONCO DELLE MELE,White,이탈리아,-,베니카 VENICA,소비뇽블랑(SAUVIGNON BLANC) 100%,소비뇽블랑(SAUVIGNON BLANC) 100%,14,80000,4.3,3,0,4,0,https://www.winenara.com/goods/goods_view.php?goodsNo=3052
367,수카르디 핀카 피에드라 그라바스칼,ZUCCARDI FINCA PIEDRA GRAVASCAL,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),말벡(MALBEC) 100%,말벡(MALBEC) 100%,14,500000,4.5,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3045
368,수카르디 핀카 카날 우꼬,ZUCCARDI FINCA CANAL UCO,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),카베르네 소비뇽(CABERNET SAUVIGNON) 100%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,14.3,250000,4.4,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3043
369,수카르디 핀카 로스 멤브릴로스,ZUCCARDI FINCA LOS MEMBRILLOS,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),카베르네 소비뇽(CABERNET SAUVIGNON) 100%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,14,320000,4.5,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=3042
370,수카르디 세리에 에이 토론테스,ZUCCARDI SERIE A TORRONTES,White,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),토론테스(TORRONTES) 100%,토론테스(TORRONTES) 100%,14.5,32000,3.8,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=3040
371,이즈웨이 돈,IZWAY DON,Red,호주,"남호주, 바로사밸리",이즈웨이 와인즈 IZWAY WINES,쉬라즈(SHIRAZ) 100%,쉬라즈(SHIRAZ) 100%,15.3,180000,4.4,3,0,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2975
372,이즈웨이 해럴드,IZWAY HAROLD,Red,호주,"남호주, 바로사밸리",이즈웨이 와인즈 IZWAY WINES,쉬라즈(SHIRAZ) 100%,쉬라즈(SHIRAZ) 100%,14.8,99000,4.3,3,0,5,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2974
373,이즈웨이 브루스,IZWAY BRUCE,Red,호주,"남호주, 바로사밸리",이즈웨이 와인즈 IZWAY WINES,쉬라즈(SHIRAZ) 100%,쉬라즈(SHIRAZ) 100%,14.9,85000,4.3,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2973
374,이즈웨이 롭 앤 레스,IZWAY ROB AND LES,Red,호주,"남호주, 바로사밸리",이즈웨이 와인즈 IZWAY WINES,쉬라즈(SHIRAZ) 100%,쉬라즈(SHIRAZ) 100%,14.9,43000,4.0,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2972
375,이즈웨이 마타로 블루 라벨,IZWAY MATARO BLUE LABEL,Red,호주,"남호주, 바로사밸리",이즈웨이 와인즈 IZWAY WINES,마타로(MATARO) 100%,마타로(MATARO) 100%,14.4,36000,3.7,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2971
376,호세 수카르디,JOSE ZUCCARDI,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),"말벡(MALBEC) 95%, 카베르네 소비뇽(CABERNET SAUVIGNON) 5%","말벡(MALBEC) 95%, 카베르네 소비뇽(CABERNET SAUVIGNON) 5%",14.5,140000,4.2,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2967
377,수카르디 콘크레토,ZUCCARDI CONCRETO,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),말벡(MALBEC) 100%,말벡(MALBEC) 100%,13.5,80000,4.0,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2966
378,수카르디 큐 말벡,ZUCCARDI Q MALBEC,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),말벡(MALBEC) 100%,말벡(MALBEC) 100%,14,35000,3.9,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2965
379,수카르디 큐 카베르네 소비뇽,ZUCCARDI Q CABERNET SAUVIGNON,Red,아르헨티나,-,패밀리아 수카르디(FAMILIA ZUCCARDI),카베르네 소비뇽(CABERNET SAUVIGNON) 100%,카베르네 소비뇽(CABERNET SAUVIGNON) 100%,14,35000,3.8,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2964
380,카스텔로 데이 람폴라 키안티 클라시코 DOCG,CASTELLO DEI RAMPOLLA CHIANTI CLASSICO DOCG,Red,이탈리아,토스카나,카스텔로 데이 람폴라(CASTELLO DEI RAMPOLLA),산지오베제(SANGIOVESE) 100%,산지오베제(SANGIOVESE) 100%,13.5,100000,3.9,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2955
381,카스텔로 데이 람폴라 산지오베제,CASTELLO DEI RAMPOLLA SANGIOVESE DI S. LUCIA,Red,이탈리아,토스카나,카스텔로 데이 람폴라(CASTELLO DEI RAMPOLLA),산지오베제(SANGIOVESE) 100%,산지오베제(SANGIOVESE) 100%,14.5,130000,3.8,3,0,5,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2954
382,마스 가비넬 인액세서블,MAS GABINELE INACCESSIBLE,Red,프랑스,남프랑스,마스 가비넬(MAS GABINELE),"무드베드르(MOURVEDRE)65%, 시라(SYRAH)20%, 그르나슈(GRENACHE) 15%","무드베드르(MOURVEDRE)65%, 시라(SYRAH)20%, 그르나슈(GRENACHE) 15%",15,199000,4.1,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=2926
383,마스 가비넬 포줴흐 레드,MAS GABINELE FAUGERES RED,Red,프랑스,남프랑스,마스 가비넬(MAS GABINELE),"그르나슈(GRENACHE) 40%, 시라(SYRAH)30%, 무드베드르(MOURVEDRE)15%, 카리냥(CARIGNAN)15%",그르나슈,14.5,39000,3.7,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2924
384,마스 가비넬 그르나슈 그리,MAS GABINELE GRENACHE GRIS,White,프랑스,남프랑스,마스 가비넬(MAS GABINELE),그르나슈 그리(GRENACHE GRIS) 100%,그르나슈,14,39000,3.6,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2923
385,뛰느뱅 샤또 쉬빌로,THUNEVIN CHATEAU SUBILAUX,Red,프랑스,보르도,뛰느뱅(Thunevin),"메를로(MERLOT)90%, 카베르네 소비뇽(CABERNET SAUVIGNON)10%","메를로(MERLOT)90%, 카베르네 소비뇽(CABERNET SAUVIGNON)10%",14,40000,3.4,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2922
386,딜레 슈프림,DILE SUPREME,Red,이탈리아,피에몬테,산테로,"바르베라(BARBERA) 40%, 카베르네 소비뇽(CABERNET SAUVIGNON) 40%, 피노 네로(PINOT NERO)20%","바르베라(BARBERA) 40%, 카베르네 소비뇽(CABERNET SAUVIGNON) 40%, 피노 네로(PINOT NERO)20%",14,35000,3.6,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2912
387,마쎄리아 도피오 파쏘 '뀌베 16',MASSERIA DOPPIO PASSO 'CUVEE 16',Red,이탈리아,풀리아,마쎄리아 도피오 파쏘(Masseria Doppio Passo),"네그로 아마로(NEGROAMARO)70%, 진판델(ZINFANDEL)30%","네그로 아마로(NEGROAMARO)70%, 진판델(ZINFANDEL)30%",16,50000,3.9,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2902
388,필라보아 몬테 알토 알바리뇨,FILLABOA FINCA MONTE ALTO,White,스페인,"스페인, 리아스 바이아스",MASAVEU BODEGAS/FILLABOA,알바리뇨(ALBARINO) 100%,알바리뇨(ALBARINO) 100%,13.5,80000,3.9,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2880
389,보네 루즈 가메 누아,BONNET ROUGE GAMAY NOIR,Red,프랑스,보졸레,보네 루즈(BONNET ROUGE),가메(GAMAY) 100%,가메(GAMAY) 100%,13,22000,3.6,3,0,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2879
390,코림비아 템프라니요 말벡,CORYMBIA TEMPRANILLO MALBEC,Red,호주,"서호주,스완밸리",코림비아(CORYMBIA WINE PTY LTD),"템프라니요(TEMPRANILLO) 62%, 말벡(MALBEC) 38%","템프라니요(TEMPRANILLO) 62%, 말벡(MALBEC) 38%",13.9,72000,3.9,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2877
