,이름,영문이름,종류,나라,생산지,제조사,포도품종,주포도품종,알코올도수,가격,평점,산도,당도,바디감,탄닌,주소
10,페폴리 키안티 클라시코,PEPPOLI CHIANTI CLASSICO,Red,이탈리아,"토스카나, 키안티 클라시코",안티노리,"산지오베제(Sangiovese) 90%, 메를로(Merlot), 시라(Syrah) 10%","산지오베제(Sangiovese) 90%, 메를로(Merlot), 시라(Syrah) 10%",13,48000,3.8,4,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=498
11,롱 클라우드 리저브 말보로 소비뇽 블랑,LONG CLOUD RESERVE MARLBOROUGH SAUVIGNON BLANC,White,뉴질랜드,말보로,롱 클라우드 ( Long Cloud ),소비뇽블랑 (Sauvignon Blanc) 100%,소비뇽블랑 (Sauvignon Blanc) 100%,12,24000,3.8,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1599
12,산타 크리스티나 브뤼,SANTA CRISTINA BRUT,Sparkling,이탈리아,롬바르디아 & 트렌티노,산타 크리스티나 / 안티노리 (Santa Cristina / Antinori),"샤르도네 (Chardonnay), 피노 블랑 (Pinot Blanc), 피노 누아 (Pinot Noir","샤르도네 (Chardonnay), 피노 블랑 (Pinot Blanc), 피노 누아 (Pinot Noir",12.5,33000,3.6,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1354
13,루이 라뚜르 피노누아,LOUIS LATOUR PINOT NOIR,Red,프랑스,부르고뉴,루이 라뚜르,피노 누아 (Pinot Noir) 100%,피노 누아 (Pinot Noir) 100%,13,48000,3.6,3,0,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=493
14,마니피코 푸오코 로쏘 리제르바,MAGNIFICO FUOCO ROSSO RISERVA,Red,이탈리아,"풀리아, 만두리아",까사 비니꼴라 보테 카를로,프리미티보,프리미티보,14.5,25000,3.9,3,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1816
15,카사 마르텔레티 모스카토 다스티,CASA MARTELLETTI MOSCATO D'ASTI,Sparkling,이탈리아,"이태리, 피에몬테, 아스티",펠리노 (Perlino S.p.A),모스카토(Moscato),모스카토(Moscato),5.5,15000,4.0,1,4,1,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1601
16,펠리노 모스카토,PERLINO MOSCATO,Sparkling,이탈리아,피에몬테 (Piemonte),펠리노 (Perlino S.p.A),모스카토 (Muscato) 100%,모스카토 (Muscato) 100%,6.5,12900,3.9,2,4,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1522
17,티렐 헌터 세미용,TYRRELL HUNTER SEMILLON,White,호주,"뉴사우스 웨일즈, 헌터밸리 (Hunter Valley)",티렐스 와인 (Tyrrell’s Wines),세미용 (Semillon) 100%,세미용 (Semillon) 100%,11.5,60000,3.6,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1587
18,빌라 엠 썸,VILLA M SOME,Rose,이탈리아,이탈리아,지아니 갈리아르도 (Gianni Galiardo),브라케토 (Brachetto) 100%,브라케토 (Brachetto) 100%,3,18000,3.4,1,4,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1676
19,아발론 나파밸리,AVALON NAPA VALLEY,Red,미국,"캘리포니아, 노스 코스트, 나파 밸리",아발론 와이너리,"까베르네 소비뇽 (Cabernet Sauvignon) 80%, 메를로 (Merlot) 16%까베르네 프랑 (Cabernet Franc) 4%","까베르네 소비뇽 (Cabernet Sauvignon) 80%, 메를로 (Merlot) 16%까베르네 프랑 (Cabernet Franc) 4%",13.9,42000,3.7,3,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=970
20,글로리오소 리오하 크리안자,GLORIOSO RIOJA CRIANZA,Red,스페인,리오하,보데가스 팔라치오,템프라니요(Tempranillo) 100%,템프라니요(Tempranillo) 100%,13.5,25000,3.6,3,1,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=1183
21,샤삐옹 뀌베 폴,CHAPILLON CUVEE PAUL,Red,스페인,"아라곤, 카라타유드",샤삐옹,가르나차 100%,가르나챠,14.5,26000,3.6,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1721
22,루이 라뚜르 샤르도네,LOUIS LATOUR CHARDONNAY,White,프랑스,부르고뉴,루이 라뚜르,샤르도네 (Chardonnay) 100%,샤르도네 (Chardonnay) 100%,13,35000,3.7,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=492
23,리틀 뷰티 소비뇽 블랑,LITTLE BEAUTY SAUVIGNON BLANC,White,뉴질랜드,"뉴질랜드,말보로",리틀 뷰티,소비뇽 블랑 (Sauvignon Blanc) 100%,소비뇽 블랑 (Sauvignon Blanc) 100%,13.6,49000,4.2,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1226
24,산타 크리스티나,SANTA CRISTINA ROSSO IGT,Red,이탈리아,토스카나,산타 크리스티나,"산지오베제(Sangiovese) 60%, 까베르네 소비뇽(Cabernet Sauvignon),메를로(Merot), 시라(Syrah) 40%","산지오베제(Sangiovese) 60%, 까베르네 소비뇽(Cabernet Sauvignon),메를로(Merot), 시라(Syrah) 40%",13,19900,3.6,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=799
25,캔달잭슨 빈트너스 리저브 피노누아,KENDALL JACKSON VINTNER`S RESERVE PINOT NOIR,Red,미국,"미국, 캘리포니아",잭슨 패밀리 와인,피노누아(PINOT NOIR) 100%,피노누아(PINOT NOIR) 100%,14.5,45000,3.7,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2668
26,리치텔리 헤이 말벡,RICCITELLI HEY MALBEC,Red,아르헨티나,"Uco Valley, Lujan de Cuyo",리치텔리 (Matías Riccitelli),말벡 (Malbec) 100%,말벡 (Malbec) 100%,14.5,25000,3.7,2,1,4,2,https://www.winenara.com/goods/goods_view.php?goodsNo=2576
27,보헤미안,BOHEMIAN,Red,이탈리아,피에몬테,까사 비니꼴라 깔디롤라,람부르스코,람부르스코,10,07900,2.5,2,3,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1833
28,콘투고,GUADO AL TASSO CONT'UGO,Red,이탈리아,"토스카나, 볼게리",안티노리 (Antinori),메를로 (Merlot) 100%,메를로 (Merlot) 100%,14.5,80000,4.2,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1635
29,닥터루젠 블루 슬레이트 리슬링 드라이,DR. LOOSEN BLUE SLATE RIESLING DRY,White,독일,"독일, 모젤",WEINGUT DR. LOOSEN,리슬링 (RIESLING) 100%,리슬링 (RIESLING) 100%,12,27000,3.9,4,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2607
30,젠틀맨즈 컬렉션 샤르도네,GENTLEMAN'S COLLECTION CHARDONNAY,White,호주,"호주, 동남부 지역 (South Eastern Australia)",린드만 (Lindeman’s),샤르도네 (Chardonnay),샤르도네 (Chardonnay),13.9,40000,3.6,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1421
31,프리마크 아비 카베르네 소비뇽,FREEMARK ABBEY CABERNET SAUVIGNON,Red,미국,"캘리포니아, 나파 밸리",잭슨 패밀리 와인,"까베르네 소비뇽 (Cabernet Sauvignon) 76.2%, 메를로 (Merlot) 18.8%, 까베르네 프랑 (Cabernet Franc) 2.7% 쁘띠 베르도 (Petit Verdot) 1.3%,말벡 (Malbec) 1%","까베르네 소비뇽 (Cabernet Sauvignon) 76.2%, 메를로 (Merlot) 18.8%, 까베르네 프랑 (Cabernet Franc) 2.7% 쁘띠 베르도 (Petit Verdot) 1.3%,말벡 (Malbec) 1%",13.5,150000,4.1,4,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=924
32,클림트 키스 뀌베 브뤼,KLIMT KISS CUVEE BRUT,Sparkling,기타 구대륙,오스트리아 (Austria),슐럼베르거 (Schlumberger),"웰치리슬링(Welschriesling) , 피노블랑( Pinot blanc),샤르도네(Chardonnay)","웰치리슬링(Welschriesling) , 피노블랑( Pinot blanc),샤르도네(Chardonnay)",11.5,35000,3.6,3,1,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1511
33,맥스 리제르바 카베르네 소비뇽,MAX RESERVA CABERNET SAUVIGNON,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,"까베르네 소비뇽(Cabernet Sauvignon) 88%, 쁘띠 베르도(Petit Verdot) 7%, 까베르네 프랑(Cabernet Franc) 5%","까베르네 소비뇽(Cabernet Sauvignon) 88%, 쁘띠 베르도(Petit Verdot) 7%, 까베르네 프랑(Cabernet Franc) 5%",14,35000,3.8,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=755
34,프레지던트 초이스 리저브 카베르네 소비뇽,PRESIDENT'S CHOICE RESERVE CABERNET SAUVIGNON,Red,칠레,아콩카구아 밸리,비냐 에라주리즈,카베르네 소비뇽 100%,카베르네 소비뇽 100%,13.5,25000,3.6,4,1,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1889
35,오이스터 베이 소비뇽 블랑,OYSTER BAY SAUVIGNON BLANC,White,뉴질랜드,말보로,오이스터 베이,소비뇽 블랑 (Sauvignon Blanc) 100%,소비뇽 블랑 (Sauvignon Blanc) 100%,13,35000,3.9,4,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1181
36,루이 라뚜르 상뜨네,LOUIS LATOUR SANTENAY,Red,프랑스,"부르고뉴, 꼬뜨 드 본, 상뜨네",루이 라뚜르,피노 누아 (Pinot Noir) 100%,피노 누아 (Pinot Noir) 100%,12.5,75000,3.8,3,0,2,2,https://www.winenara.com/goods/goods_view.php?goodsNo=489
37,우나니메,UNANIME,Red,아르헨티나,멘도자 (Mendoza),페나플로 (Penaflor),"카베르네 소비뇽 (Cabernet Sauvignon) 60%, 말벡 (Malbec) 25%, 카베르네 프랑 (Cabernet Franc) 15%","카베르네 소비뇽 (Cabernet Sauvignon) 60%, 말벡 (Malbec) 25%, 카베르네 프랑 (Cabernet Franc) 15%",14.5,70000,4.1,3,1,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1617
38,샤또 기봉 레드,CHATEAU GUIBON RED,Red,프랑스,보르도,앙드레 뤼통,"까베르네 소비뇽(Cabernet Sauvignon) 50%, 메를로(Merlot) 50%","까베르네 소비뇽(Cabernet Sauvignon) 50%, 메를로(Merlot) 50%",12.5,19000,3.4,2,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=494
39,라운드 힐 카베르네 소비뇽,Round Hill Cabernet Sauvignon,Red,미국,캘리포니아,러더포드 와인 컴퍼니 (Rutherford Wine Company),카베르네 소비뇽 100%,카베르네 소비뇽 100%,13,22000,3.6,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2565
40,뀌베 르누아르,CUVEE RENOIR,Champagne,프랑스,"상파뉴 , 꼬뜨 드 바 ( Cote des Bar),오브(Aube)",크리스티앙 세네즈(Christian Senez),"샤르도네 ( Chardonnay ) 50% , 피노누아 ( Pinot Noir ) 50%","샤르도네 ( Chardonnay ) 50% , 피노누아 ( Pinot Noir ) 50%",12.5,59000,3.7,3,0,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=1593
41,양가라 쉬라즈,YANGARRA SHIRAZ,Red,호주,"남호주, 맥라렌 베일",잭슨 패밀리 와인,쉬라즈 (Shiraz) 100%,쉬라즈 (Shiraz) 100%,14,60000,3.8,3,0,4,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1128
42,루이 라뚜르 샤블리,LOUIS LATOUR CHABLIS,White,프랑스,"부르고뉴, 샤블리",루이 라뚜르,샤르도네(Chardonnay) 100%,샤르도네(Chardonnay) 100%,13,62000,4.0,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=932
43,루이 부요 크레망 드 부르고뉴 브뤼,LOUIS BOUILLOT CREMANT DE BOURGOGNE GRAN RESERVE,Sparkling,프랑스,"프랑스,부르고뉴",루이 부요(Louis Bouillot),"알리고테(ALIGOTE), 샤르도네(CHARDONNAY), 가메(GAMAY), PINOT NOIR","알리고테(ALIGOTE), 샤르도네(CHARDONNAY), 가메(GAMAY), PINOT NOIR",12,35000,3.8,3,0,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2782
44,샤또 라 카데리 오센티크 보르도 슈페리어,CHATEUA LA CADERIE AUTHENTIQUE BORDEAUX SUPERIEUR,Red,프랑스,"프랑스, 보르도, 보르도 슈페리어",Chateau La Caderie,"메를로(MERLOT) 38%, 카베르네 프랑(CABERNET FRANC) 29%, 카베르네 소비뇽(CABERNET SAUVIGNON) 20%, 쁘띠 베르도(PETIT VERDOT) 13%","메를로(MERLOT) 38%, 카베르네 프랑(CABERNET FRANC) 29%, 카베르네 소비뇽(CABERNET SAUVIGNON) 20%, 쁘띠 베르도(PETIT VERDOT) 13%",14.2,27000,3.8,3,1,2,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2613
45,포 버튜스 버번 배럴 에이지드 카베르네 소비뇽,4 VIRTUES BOURBON BARREL AGED CABERNET SAUVIGNON,Red,미국,"캘리포니아, 로다이",러더포드 와인 컴퍼니,"카베르네 소비뇽83%, 말벡 14%, 진판델 3%","카베르네 소비뇽83%, 말벡 14%, 진판델 3%",13.9,60000,4.1,3,0,5,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2584
46,빌라 안나베르타 아마로네,VILLA ANNABERTA AMARONE,Red,이탈리아,베네토,빌라 안나베르타 (Villa Annaberta),"코르비나, 론디넬라, 몰리나라","코르비나, 론디넬라, 몰리나라",14,59000,4.1,3,0,3,4,https://www.winenara.com/goods/goods_view.php?goodsNo=1600
47,빌라 엠 로쏘,VILLA M ROSSO,Red,이탈리아,피에몬테,지아니 갈리아르도,브라케토 (Brachetto) 100%,브라케토 (Brachetto) 100%,5,32000,4.0,2,4,2,0,https://www.winenara.com/goods/goods_view.php?goodsNo=508
48,베네가쭈 델라 카사,VENEGAZZU DELLA CASA,Red,이탈리아,베네토,베네가쭈,"카베르네 소비뇽(CABERNET SAUVIGNON) 60%, 메를로(MERLOT) 25%, 카베르네 프랑(CABERNET FRANC) 10%, 말벡(MALBEC) 5%","카베르네 소비뇽(CABERNET SAUVIGNON) 60%, 메를로(MERLOT) 25%, 카베르네 프랑(CABERNET FRANC) 10%, 말벡(MALBEC) 5%",13,35000,4.2,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=2876
49,셀리에 데 프린스 꼬뜨 뒤 론 비에이비뉴,CELLIER DES PRINCES COTES DU RHONE VIELLES VIGNES,Red,프랑스,"남부론, 꼬뜨 뒤 론",셀리에 데 프린스,"GSM (그르나슈 80%, 시라 15%, 무르베드르 5%)",그르나슈,14,23000,3.7,3,1,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1850
50,닥터 린드만 빈45 카베르네 소비뇽,LINDEMAN'S BIN 45 CABERNET SAUVIGNON,Red,호주,뉴 사우스 웨일즈 & 빅토리아,린드만 (Lindeman’s),까베르네 소비뇽 (Cabernet Sauvignon),까베르네 소비뇽 (Cabernet Sauvignon),13.5,20000,3.4,3,0,3,3,https://www.winenara.com/goods/goods_view.php?goodsNo=1380
51,하트포드 코트 러시안 리버 밸리 피노누아,HARTFORD COURT RUSSIAN RIVER VALLEY PINOT NOIR,Red,미국,"소노마, 러시안 리버 밸리",잭슨 패밀리 와인,피노 누아 (Pinot Noir) 100%,피노 누아 (Pinot Noir) 100%,14.5,99000,4.2,3,0,4,3,https://www.winenara.com/goods/goods_view.php?goodsNo=964
52,베이 오브 파이어 리슬링,BAY OF FIRES RIESLING,White,호주,"호주, 타스매니아",베이 오브 파이어,리슬링(RIESLING) 100%,리슬링(RIESLING) 100%,12.5,42000,3.8,3,1,3,0,https://www.winenara.com/goods/goods_view.php?goodsNo=2601
